source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_43210_63,exact,A,,uncertainty_or_refusal_review,05dcddd1df02658f15d9ade264eb5f4cc3a95cf29c36f39748dc96a812531198
2,G_58398_left_1287,exact,A,,contradictory_review,9da013a376f93d81ba7fe50813d3fc3827a4f9094ca23b5115509139d82487e1
3,G_56583_left_842,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
4,I_14493_83742_left_s,exact,A,,contradictory_review,1fa8b52b9ca935dec33bebe8483ce18abef5b4f5611b52292a71f4ca3b049993
5,I_57145_65052_left_x,exact,A,,unrecognized_review,22de9469b6202d037a51ffd79c882ebdfd8239dff5db96ad4e7b7544605c36cb
6,I_56583_93812_left_s,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
7,I_24101_57145_left_s,exact,B,B,explicit_text,84f0c45b1fccd8a3c3b9d08f814978695444375fee7e814c4c721c86ce223047
8,G_83742_left_2229,exact,B,,unrecognized_review,dff671af5ab783cf76ab907429b09948c9baf8e4bc2316a05903fed5cdd178c4
9,G_57833_left_1183,exact,A,,unrecognized_review,4c26723c387cb913bd11307fde29bcf6501dd2bfe2c6368dc95e093aa9e788db
10,G_69658_left_1866,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
11,I_24101_57145_left_x,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
12,G_24101_right_301,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
13,D_56583_99,exact,A,,contradictory_review,73459f1c1774e3ae0d24e33b9d7ef444ba9a1a61d68c8653489c207e3b506175
14,G_63029_left_1482,exact,A,,unrecognized_review,6442eda5ddeb81ff7758a61ea8b18cbcb67e73a67028ea2ff64880c28f077a7a
15,I_24101_87757_right_x,exact,A,,contradictory_review,a10fdedfad1b3827c137476cfe45ae7dddface9d17838e21c7fde6f46df7586e
16,G_89171_left_2506,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
17,G_43210_left_580,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
18,I_44595_47904_left_s,exact,A,,contradictory_review,10870629a6dcaaf2f0582cd772ea0bea3fa40b6fe9bbe98fcef9ef0978fcac82
19,G_44595_left_742,exact,A,,unrecognized_review,28feb9420834e24b0dbb3f0a22abae9664d03dcaa3781fb47c6512f1cd41ec97
