source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_43210_63,exact,A,,contradictory_review,cc8127b1afbc7b3e2e7664328cb300607d263e1864f109da649c99a354dd5b55
2,G_58398_left_1287,exact,A,,contradictory_review,88c09cea5c89b59c82f76b9b7c27d51bf646cbea1330efbe31a0be6e18499fbf
3,G_56583_left_842,exact,A,,contradictory_review,4c6e8907518a39a76b67602b7110bc0cc5918f4da3736eb867a83547488a600f
4,I_14493_83742_left_s,exact,A,,contradictory_review,96d82628d8485f12593ff3a27b489ffd9a989e408a3ad5fbf53c9aed6e66a490
5,I_57145_65052_left_x,exact,A,,unrecognized_review,97a93e824e3aeff4833446a84d4167bc5107e79040e91c0175a5b6fdc60c3beb
6,I_56583_93812_left_s,exact,A,,contradictory_review,5c761eda7cde2f87bba614e7fa564237c90e68d0d1e7846ebdd832446af80d7a
7,I_24101_57145_left_s,exact,A,,uncertainty_or_refusal_review,26c631d991476ba339ac98a67fe52b5126b80c555b794db48fd21870e43d3cf9
8,G_83742_left_2229,exact,A,,unrecognized_review,494294efcca7d153c7cc1f2ce3376eb59861e47761216d6d92c84b60e46302e8
9,G_57833_left_1183,exact,A,A,explicit_text,747d39e9fc5cdde1e1fc822c31b31e99db7f403d683f5078f5a6c2616c4e83e6
10,G_69658_left_1866,exact,A,,contradictory_review,4088cd3cd3f5e2b30777950bfbe0a614b01c1a49800a5fe4380095a3b69354bd
11,I_24101_57145_left_x,exact,A,,contradictory_review,20d6dba068746576117a015835dd03f92a511a651ed16c6ac1396211e41bc7eb
12,G_24101_right_301,exact,A,,contradictory_review,b69ce7b83e71030f869a934b75fd5b27c575c127dcae57df10125e5fd7788c58
13,D_56583_99,exact,A,,contradictory_review,a07051062724f296e05dd14f6df78226226fa46f0e9ed74bee9f95604cbf1375
14,G_63029_left_1482,exact,A,,uncertainty_or_refusal_review,4f0f9d5691ac6e82f248995acb38876235be39c6e2da976a4739b663b45ebc6e
15,I_24101_87757_right_x,exact,A,,contradictory_review,01236f9817fe26ce5d552cf0b7869c7b3c927180b74fe75ffe3b60d2476ef28a
16,G_89171_left_2506,exact,A,,unrecognized_review,5d2ced81e780f171d1cee8d100fca8840d5772a41f954ef2146d77b1f246d7ad
17,G_43210_left_580,exact,A,,contradictory_review,87b2308952290f269f5e2d316f8510387bc25985f7415e432d8aadb1b7ad1069
18,I_44595_47904_left_s,exact,A,,contradictory_review,f85814712a55285dbf750750530361fcddd25cf1e307f2646bad4cbe6824faf4
19,G_44595_left_742,exact,A,,unrecognized_review,40ff716d6b5db61c3d0d097c889abc1abbd129267583b04add4932e15325899a
20,I_89171_96608_right_s,exact,A,,uncertainty_or_refusal_review,ca1d8e2801063a7b3eddb619e3c6d674f1597a5b68cba26c9d4c8a9cf90e3389
21,G_65030_left_1658,exact,B,,unrecognized_review,d6c4c891281f02c443046f1bcfe35f6eff67e348b3138a450205c2ec7e96ae62
22,I_65030_65052_left_x,exact,A,,unrecognized_review,e0b4f36a53e28a63818b6d5711e557ea8e49538e8599a47c3b328cc076f20c45
23,I_20294_47904_right_x,exact,A,,unrecognized_review,a14ece87ad2c5a1e52575cca431a3d7cf18c9b1df00608bbbe8b693975846a7b
24,G_20294_right_224,exact,A,,contradictory_review,1b6f8e738adfccbcf5259cbda7f97429d6a9f851861a0729134756b47fa5899f
25,I_47904_58793_left_s,exact,A,,contradictory_review,2445bba5b8d3a6510b97b27ebe034ed04f555766288bc5de35cafa3ec6056a69
26,D_44595_73,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
27,I_56583_96608_right_x,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
28,D_14493_8,exact,A,,contradictory_review,47fef8b34f1f50c1e7ef5287d8a2145380ce6aee719e7d53d1b6829b032d7503
29,D_47904_92,exact,A,,unrecognized_review,460fab917021129d0afc6d26df26a0a600a70a09c9b3cade0a68677237419752
30,I_32467_43210_right_s,exact,B,,unrecognized_review,555ca63f714d09df03619ccef4041c5e0503bf3028e027dbc37c6c261b0fd2bd
31,G_74850_right_2037,exact,B,B,explicit_text,1ea442a134b2a184bd5d40104401f2a37fbc09ccf3f4bc9da161c6099be3691d
32,I_32467_65030_right_x,exact,A,,uncertainty_or_refusal_review,e9c6a93b06d1e12de16b3e7d110221a225140777a21ee5c80c2bda38fd3b7bb2
33,G_20294_left_134,exact,A,,contradictory_review,3c058d6f5942bc3e2e50fdc8cadc5806f875cdc592a63ee35b91c5ffa2d39b9d
34,G_47904_right_832,exact,A,,contradictory_review,911477ed01fe3883bb9d3b2060549c1d4d101a911b29b7fedd2f1bea3a10529f
35,I_57145_89171_right_x,exact,A,,unrecognized_review,7c8bd37755a7edfc3e8901254b38bae9fc941d3d7a55ae1329566be6da73a89b
36,G_76957_left_2098,exact,A,,contradictory_review,ba0802f9c4be597bbcbabb996544af19cb585d548ab45c6974db1da51c5f6c3c
37,I_14493_20294_right_x,exact,A,,unrecognized_review,0d19f9eaffc70ad1b40d8d4e8990b8fd8ac4a74f766840a3c8089222ce53e910
38,D_76957_225,exact,A,,contradictory_review,18a83fefbc1bcd2a47475ce9764aaaca3cc17e756b6f0bd1da5948cde5c3f30d
39,G_76957_left_2119,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
40,D_69658_194,exact,A,,contradictory_review,055640682d6400639f46a5bd1db268f831c8000061e355933f3a85b073b7ed58
41,G_32467_right_505,exact,A,,uncertainty_or_refusal_review,289b2224202320fc28074ed11591dad8ea7f60247ed6c3b14f7cea5a018c49b0
42,I_47904_58793_right_s,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
43,G_74850_right_2026,exact,A,,contradictory_review,ec21d5f70eace43d72c0375b739de60f1f77191267ac3e2b4dc4d22e5c7e2d66
44,D_89171_262,exact,B,B,explicit_text,aed53647f8e7faae259182604b78104d4031fa6e48cacc54ece185cedba39b17
45,I_57833_89171_left_x,exact,A,,unrecognized_review,c5cf2b972e6919a5d316fe2f40902df7941116ae4c982e501514cb2fc20f0145
46,I_74850_83742_left_s,exact,B,,unrecognized_review,f7769a7dcf9e8a5bb3dfd773f15d8a6fba4a28f7c8a8acff6a453e9ed0079b92
47,I_57833_69658_right_x,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
48,G_74850_left_1998,exact,A,,contradictory_review,fdf8972687025f920c182830cb2923e86a27adb2d790fcbefa0a9084ec4e51b9
49,D_83742_228,exact,A,,unrecognized_review,fecac47204329828e44f4478eb9eacd8264beaae6307068b1ff58dafcb86c749
50,I_43210_56583_left_x,exact,A,,unrecognized_review,0c2fcc1998d4355c4fd7c426ca38165f4d12b92b99636db3d933a55501852953
51,G_43210_right_633,exact,A,,contradictory_review,45e4e49dc9eaf3501ff4c7910eab89d6e201e0206af14e5fa6ca81e59bfc0e53
52,I_58793_65030_left_s,exact,B,B,explicit_text,1ea442a134b2a184bd5d40104401f2a37fbc09ccf3f4bc9da161c6099be3691d
53,I_57145_76957_left_s,exact,B,,unrecognized_review,3ac100c907a620945acc695bb3f299bb5167b78a9039c12a29c59bd087d5ceac
54,I_14493_65030_left_x,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
55,G_65030_right_1681,exact,A,,contradictory_review,37ca92de8f7cfa7dd5d687e6aa0991568661801d5e3b7d4cfec3823c6c9ed2cb
56,D_58398_142,exact,A,,unrecognized_review,c1f139f91121b6b3dd54e383671e5185b13484c0514297f4fa7062b6bd991c5e
57,G_57833_right_1228,exact,B,B,explicit_text,1ea442a134b2a184bd5d40104401f2a37fbc09ccf3f4bc9da161c6099be3691d
58,I_43210_74850_left_s,exact,A,,contradictory_review,6eef305eac0145a1eb942fe9b8d951b11ad2ebb13a357df9e27a6e27115d2fc3
59,D_14493_9,exact,A,,contradictory_review,96f91731d5aa84f545c896a32f2d6f9df2b6069ff5ed68378d98c371de2553c8
60,I_43210_83742_right_s,exact,A,,contradictory_review,b1265270d45fad959a0cc81615896c19d37a5f8356e478b32a92000f3929bbd0
61,G_96608_left_2728,exact,A,,uncertainty_or_refusal_review,0dd58cd202f20a5a048df3afd28fe527262eeac0ac9f5451c9f2ae97c1d65b28
62,I_57833_96608_left_x,exact,A,,unrecognized_review,422c85373bad4f65a31fa87717f33754a21c0a833aea4773bb909f24c1a10972
63,I_47904_63029_right_x,exact,A,,contradictory_review,0ec28d551109bf6f6870a3d54ba5dccdde7ad98663784b176705bef6907431ae
64,I_65052_93812_right_x,exact,A,,contradictory_review,f15700a799731fa68f8a5571f29aec811beeeeccb218d6ff1a702c9942b860a1
65,I_44595_99775_left_s,exact,A,,contradictory_review,23209b42005788521dce4a86f1ebdbef654beb6a75452d88931ab9f33e634f4c
66,I_24101_32467_left_x,exact,A,,contradictory_review,faa925fed45685d5fd8b6073f05251abc8147cd23e4e47576e2527c6150d22a6
67,G_27295_right_407,exact,B,,unrecognized_review,553487614efc18b1a7fcc30f3f37ec19edf77e7255369749e9a8304de8191e07
68,I_65052_83742_left_x,exact,A,,contradictory_review,87d1a197dd068b94c0118c776e4be560004e32046953fcedd1563ab85aaf3e78
69,I_58398_76957_left_x,exact,A,,contradictory_review,a8e7f4c38fa7f801ea97b9463c3538d721659408e6bfd69f451d1497713195ce
70,G_76957_left_2097,exact,B,B,explicit_text,1ea442a134b2a184bd5d40104401f2a37fbc09ccf3f4bc9da161c6099be3691d
71,I_58793_65052_left_s,exact,A,,contradictory_review,47ec879df08b9a40599f17645a671301f64a2d9515578c80512deb475fbb107d
72,G_27295_left_311,exact,A,,unrecognized_review,068dc9422ad868c79c975a7bb65011acae6fa66263db0fa6a9b0d916c7c6f302
73,I_14493_57145_right_x,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
74,G_87757_right_2459,exact,A,,unrecognized_review,74672601629996f510e2e0e0784376a10d450e1a4fb98a31f24b6fdf4e52c9e2
75,D_93812_272,exact,B,B,explicit_text,38178a20b470cfd18299fb1593dd4ba706f1a83321dac051d01086efd8b7a96f
76,G_63029_left_1497,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
77,G_69658_right_1931,exact,A,,contradictory_review,5fe93f8632025eef191f334f763df7b6e16776cb9c3bbc7d7788ddb972668b7e
78,I_87757_99775_left_s,exact,B,B,explicit_text,b1c9eb7c37e675fc517b6505924533cdce16186b5f0e203bf8eff78af200a1f9
79,I_93812_99775_right_s,exact,A,,contradictory_review,943c6371f0b31754b72a18cd9e02aa6c47e43f1fb651cbd5b4c8da28383ff60d
80,I_43210_47904_right_x,exact,A,,contradictory_review,f2ca71272bf504beaf9359c3ce6feececd7ae3eec7d1d1866ec5e92b34b0cd32
81,G_58398_left_1293,exact,B,,unrecognized_review,d6c4c891281f02c443046f1bcfe35f6eff67e348b3138a450205c2ec7e96ae62
82,I_14493_57145_left_x,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
83,G_57145_right_1072,exact,A,,contradictory_review,ff325f75bba95b40345e476d4417ca3508e08319ff122e6eca8b250cfd5f4a20
