pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,50,50,1.214,claude-opus-4-8,similarity_score,2026-06-20T14:37:50
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,30,30,1.214,claude-opus-4-8,similarity_score,2026-06-20T14:37:51
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,52,52,1.156,claude-opus-4-8,similarity_score,2026-06-20T14:37:52
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,72,72,1.433,claude-opus-4-8,similarity_score,2026-06-20T14:37:54
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,50,50,1.404,claude-opus-4-8,similarity_score,2026-06-20T14:37:55
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,30,30,1.293,claude-opus-4-8,similarity_score,2026-06-20T14:37:57
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,68,68,1.273,claude-opus-4-8,similarity_score,2026-06-20T14:37:58
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,50,50,1.333,claude-opus-4-8,similarity_score,2026-06-20T14:37:59
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,65,65,1.386,claude-opus-4-8,similarity_score,2026-06-20T14:38:01
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,50,50,1.305,claude-opus-4-8,similarity_score,2026-06-20T14:38:02
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,35,35,1.208,claude-opus-4-8,similarity_score,2026-06-20T14:38:03
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,50,50,1.275,claude-opus-4-8,similarity_score,2026-06-20T14:38:04
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,50,50,1.696,claude-opus-4-8,similarity_score,2026-06-20T14:38:06
I_00002360_00002369_frgp13,impostor,13,right,00002360,00002369,B,35,35,1.072,claude-opus-4-8,similarity_score,2026-06-20T14:38:07
I_00002360_00002481_frgp13,impostor,13,right,00002360,00002481,B,50,50,1.168,claude-opus-4-8,similarity_score,2026-06-20T14:38:08
I_00002339_00002352_frgp14,impostor,14,left,00002339,00002352,B,35,35,1.201,claude-opus-4-8,similarity_score,2026-06-20T14:38:09
I_00002312_00002340_frgp14,impostor,14,left,00002312,00002340,B,35,35,1.238,claude-opus-4-8,similarity_score,2026-06-20T14:38:11
I_00002319_00002380_frgp13,impostor,13,right,00002319,00002380,B,35,35,1.32,claude-opus-4-8,similarity_score,2026-06-20T14:38:12
I_00002348_00002367_frgp14,impostor,14,left,00002348,00002367,B,35,35,1.431,claude-opus-4-8,similarity_score,2026-06-20T14:38:13
I_00002395_00002405_frgp13,impostor,13,right,00002395,00002405,B,30,30,1.155,claude-opus-4-8,similarity_score,2026-06-20T14:38:15
I_00002401_00002405_frgp14,impostor,14,left,00002401,00002405,B,35,35,8.457,claude-opus-4-8,similarity_score,2026-06-20T14:38:23
I_00002399_00002415_frgp14,impostor,14,left,00002399,00002415,B,30,30,1.534,claude-opus-4-8,similarity_score,2026-06-20T14:38:25
I_00002399_00002440_frgp14,impostor,14,left,00002399,00002440,B,78,78,1.12,claude-opus-4-8,similarity_score,2026-06-20T14:38:26
I_00002349_00002391_frgp14,impostor,14,left,00002349,00002391,B,35,35,1.688,claude-opus-4-8,similarity_score,2026-06-20T14:38:27
I_00002351_00002386_frgp13,impostor,13,right,00002351,00002386,B,50,50,2.084,claude-opus-4-8,similarity_score,2026-06-20T14:38:29
I_00002360_00002447_frgp13,impostor,13,right,00002360,00002447,B,50,50,2.384,claude-opus-4-8,similarity_score,2026-06-20T14:38:32
I_00002344_00002379_frgp13,impostor,13,right,00002344,00002379,B,40,40,1.319,claude-opus-4-8,similarity_score,2026-06-20T14:38:33
I_00002326_00002369_frgp13,impostor,13,right,00002326,00002369,B,35,35,1.482,claude-opus-4-8,similarity_score,2026-06-20T14:38:35
I_00002399_00002428_frgp14,impostor,14,left,00002399,00002428,B,35,35,1.57,claude-opus-4-8,similarity_score,2026-06-20T14:38:36
I_00002399_00002406_frgp14,impostor,14,left,00002399,00002406,B,85,85,1.614,claude-opus-4-8,similarity_score,2026-06-20T14:38:38
I_00002396_00002401_frgp13,impostor,13,right,00002396,00002401,B,50,50,1.252,claude-opus-4-8,similarity_score,2026-06-20T14:38:39
I_00002340_00002376_frgp13,impostor,13,right,00002340,00002376,B,30,30,1.096,claude-opus-4-8,similarity_score,2026-06-20T14:38:40
I_00002327_00002398_frgp14,impostor,14,left,00002327,00002398,B,35,35,3.964,claude-opus-4-8,similarity_score,2026-06-20T14:38:44
I_00002317_00002381_frgp14,impostor,14,left,00002317,00002381,B,78,78,1.136,claude-opus-4-8,similarity_score,2026-06-20T14:38:45
I_00002314_00002351_frgp14,impostor,14,left,00002314,00002351,B,35,35,1.238,claude-opus-4-8,similarity_score,2026-06-20T14:38:47
I_00002356_00002360_frgp13,impostor,13,right,00002356,00002360,B,45,45,1.288,claude-opus-4-8,similarity_score,2026-06-20T14:38:48
