source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_121_111,exact,20,,numeric_prose_review,4abd023457701497f21c25179a9b84b6a982baf13b137453802f522379ecffe2
2,I_044_232_13,exact,70,,numeric_prose_review,809179c9c28fe0ccdea292955e318e48f413599f7039b7948cc1a2dba91598fb
3,I_067_932_13,exact,20,,numeric_prose_review,53ccbbfc85a4dbf55fb893eb122caf4937013f4c7ad3b83bc87c10afcbb5fcb6
4,I_169_222_13,exact,2,,numeric_prose_review,bc57623d108a62944aef9b0a24a049d241da05bb3b8c522032514ef62e794c1e
5,I_051_174_13,exact,70,,numeric_prose_review,cfcd1b03d2f8322ba6475b1d7c0350261c69c8dd15100926e991b595ffc6ba34
6,D_041_36,exact,,,no_numeric_score,c1c64ff59d56e8542e0514378986f78f8648f5d326b3bf1de86cff58c6a91c92
7,G_200_13_11863,exact,,,no_numeric_score,e007a62a5201367b390ab0b83fcf62b76202f33d575d85b2b0a1190c6fffa3b7
8,I_049_269_13,exact,20,,numeric_prose_review,5d4333e26b69f9a73e133a9a5e4989b1f3c2f14cdab57c39470e2bfe8686f3b4
9,G_256_14_13142,exact,20,,numeric_prose_review,76cc479a539923f18294857c7722d4537326597ef92488c4dc3beb1fd06f2475
10,G_159_14_10898,exact,20,,numeric_prose_review,c8f758479fc08188ebb92b48a06a115ff3f50bf0799fdaed64ab9b9a9a59082f
11,G_202_14_11903,exact,20,,numeric_prose_review,496c682d927680ddd65acd9e8622a71b0f784ee83f64610a466116e57987fa6e
12,D_46_259,exact,70,,numeric_prose_review,fe11fd30e9dd0b95cc8b8782905210155714d0767f31d37c997725ba887ac2f5
13,G_112_14_9805,exact,20,,numeric_prose_review,dc934fe30a942bca07b4c288b4b3e48aa79a717d6db2b586553cd2416dc8b9b8
14,G_192_13_11674,exact,,,no_numeric_score,c55c37b3e069af20cd5a2c3d61a1663302c8a4d85abb0f5f4a0577f43a63236b
15,I_009_216_13,exact,70,,numeric_prose_review,af0a163978e0610e1b9ae50c008b3c838567d08babab7e05c58ff1d3a7d18e95
16,D_155_135,exact,40,40.0,explicit_score,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
17,I_31_911_14,exact,70,,numeric_prose_review,a55fa75d3af52c1ceeee80285aecf227c1d86a27a5dc61c47818a8ef1d289868
18,I_233_293_14,exact,20,,numeric_prose_review,4d75f43c2c374ed3f074117760e8d80c42e8b23360fb5fd0b2e12a2818e5b39b
19,I_57_71_13,exact,70,,numeric_prose_review,84668fba0243e78b7d5358bcce519f30e4e158052e1269ea9dfc987ebb1cd3e4
20,G_048_14_3830,exact,,,no_numeric_score,385efee40ef8ce131efb43845794f44118c9ce0b5a36dee518099efabd3f3175
21,D_191_165,exact,20,,numeric_prose_review,dcde60d67986e78492e1e6181a86bcbec22f13931a622eecf2bda6e37fc96860
22,G_182_14_11428,exact,20,,numeric_prose_review,5eb0127cf0b99d6ddf3d820631e8f21592acadcde2077b68808104bedb442d20
23,G_009_13_633,exact,29,,numeric_prose_review,3eb477ddfe7efdca31a1a0585e05012f2d707a1984735da571b6cd741373db70
24,I_83_908_13,exact,,,no_numeric_score,f76854411c5330d8a5cf33804acb6aeff63de687dbe97546571fe183028000fb
25,I_010_173_13,exact,20,,numeric_prose_review,a39a6032ad95ceba7b815124bfc68738a1bf789c37887d7289b6ff0784d1ea20
26,D_004_2,exact,,,no_numeric_score,69415611fd2b6026f863b3dc76e8eb173126ecdfac28c20798ba45b390716439
27,G_212_13_12077,exact,7,7.0,explicit_score,a50aa8b9a9806899e1d67d0d09c1ce40221cb0dffc52483e8e6da18ff1753a38
28,G_270_14_13504,exact,2,,numeric_prose_review,62a9974818c1c13a1b7d458d94d5c33dd585909f988ed5f49b05664ae001b5ce
29,G_42_13_14322,exact,,,no_numeric_score,eda915b8ec3385aae79a2e7c08f77becf851f3f5cb2bfbdc4f715aba0b9da250
30,D_128_117,exact,,,uncertainty_or_refusal_review,d89fae1729ea01cb2691c21eb7ac12188e775252ce7c929e510f52d93d799c33
31,G_934_14_16443,exact,2,2.0,explicit_score,6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4
32,I_059_900_13,exact,20,,numeric_prose_review,2c3c9df2b2e9dfd3cff971ec277de4442cb328ae1fe8e9ff04c23e04ed138408
33,I_31_82_14,exact,,,no_numeric_score,0140c926b0a7c17009648a87b9094f87e2ddcc22b998fdf764ee2d200663085c
34,I_034_181_14,exact,,,no_numeric_score,b482e45229e19f5f7ba590b5ac81bdb25d5d24116ed961bfa0eb1a23c20a204c
35,G_033_13_2634,exact,20,,numeric_prose_review,f254b8922e6964a5fc5025cdac28de47d821c009c90ed030fd94cc730781327e
36,I_136_263_13,exact,70,,numeric_prose_review,79ae06c012e80ab485b26a3e9b58fa81f50b071d9d946d4ef949c4a3f1ea101a
37,G_160_13_10911,exact,20,,numeric_prose_review,4a28a7fa39162e74bf60bf7362844a9f7851e1e5cd5320c6dae97b0d0adec769
38,G_12_13_10249,exact,,,no_numeric_score,62b67e1f685b7fef51102005dddd27774be3fee38c42965c53aab035d0b6b221
39,I_006_044_14,exact,2,,numeric_prose_review,bc3d74a83a4637650b7db3b9d6ca901341d19a4e65dbfc884bddc5dc1e5a5a12
40,D_218_186,exact,4,,numeric_prose_review,9bde3e99e31487654ef06fe5f37cb61cda9a87735e25f97bdac8130ce3e0d287
41,D_39_252,exact,,,empty,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
42,I_229_916_13,exact,,,no_numeric_score,9abb4ae8a51e2aa6582b7c65b35b966fcb53dad6f0efc4ebd26e9fd9c51c9607
43,G_049_14_3960,exact,,,no_numeric_score,a9910d40111dede3f76c05c9f4fcb02946a75ed58ba5c132e9d2d65d54e190ca
44,D_918_310,exact,70,,numeric_prose_review,af0a163978e0610e1b9ae50c008b3c838567d08babab7e05c58ff1d3a7d18e95
45,G_43_13_14353,exact,20,,numeric_prose_review,d04e3bb54c7670181204ea82ee30f02aed0877ab67322d8d41a3522d2d0eecc8
46,G_923_13_16063,exact,20,,numeric_prose_review,dc934fe30a942bca07b4c288b4b3e48aa79a717d6db2b586553cd2416dc8b9b8
47,G_127_14_10171,exact,,,no_numeric_score,9dd956244a8a2f121b64acdfb5d1eee3d246ea577a687f6a638465f1b918b08a
48,D_051_45,exact,2,,numeric_prose_review,374059ad5d6c3eea8f6e4ef5df46be7e233d65b9def58d72cf3ce730584cca74
49,G_197_14_11779,exact,3,3.0,explicit_score,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c
50,G_018_14_1489,exact,,,no_numeric_score,fcf2145fed91872b706141aabd94f8fe46e1694220028d3bdd55b4f5bb7633cf
51,I_049_901_14,exact,7,,numeric_prose_review,89f1d08a30e4ff33e62f7f5dd3aa2930a9027e26322be84a04497e00604bb34d
52,I_36_67_13,exact,70,,numeric_prose_review,af0a163978e0610e1b9ae50c008b3c838567d08babab7e05c58ff1d3a7d18e95
53,I_146_194_13,exact,,,no_numeric_score,f4b21dc74c7f18d3797d52dddf50fdd3000bcdb4b5617a8027d3c358a32df64a
54,D_279_230,exact,20,,numeric_prose_review,88a6f612210e76e65fc062d1fbbf8dea78173a7e5313e0e26c59a9650a75fc4d
55,I_013_919_13,exact,30,,numeric_prose_review,c353b99886e63a2dd3c1de4ea9406eae038243df62742b67f9fc9101b7240213
56,D_094_86,exact,2,2.0,explicit_score,6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4
57,D_158_138,exact,3,3.0,explicit_score,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c
58,I_057_909_14,exact,20,,numeric_prose_review,dc934fe30a942bca07b4c288b4b3e48aa79a717d6db2b586553cd2416dc8b9b8
59,D_099_90,exact,,,empty,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
60,G_125_13_10127,exact,,,no_numeric_score,58eb3611d6347023769ea90db90045e7baa8ea0801b33c3c994a09239f28d5f1
61,I_048_22_13,exact,2,,numeric_prose_review,4de75f0db5172e1e45267a52402ffbac3b5abe1b802f94d7f216c36ab761b882
62,G_156_13_10789,exact,,,uncertainty_or_refusal_review,05e5a3f17096f899bda4d29bfba0d041f506b1551f18bceea921560c26987dc4
63,I_42_939_14,exact,70,,numeric_prose_review,af0a163978e0610e1b9ae50c008b3c838567d08babab7e05c58ff1d3a7d18e95
64,I_164_279_14,exact,,,numeric_prose_review,29874edb1e2633870304ff0fb4314e48976e931a098363d422024ecc8d6ef8ac
65,I_007_253_13,exact,2,,numeric_prose_review,0c2b506ee0e72d5556a0181f2e87f0aab3f7d2ad6853e7eb5bf004038c1bf0c5
66,I_902_919_14,exact,,,no_numeric_score,0af309f16a19d496098ca1ee08821039903b556e84ae7f12312bd87619b82d30
67,I_100_189_13,exact,20,,numeric_prose_review,dc934fe30a942bca07b4c288b4b3e48aa79a717d6db2b586553cd2416dc8b9b8
68,G_122_13_10044,exact,,,uncertainty_or_refusal_review,15c53696a12211ee06bea75aebd61f0dd4912c6927b61c97ba77888cea9930aa
69,I_024_130_13,exact,20,,numeric_prose_review,b5041e46fb7c925cd8ddc0e6241fcd9398662649e977205c9af2f1f1dcbfc57a
70,G_284_14_13708,exact,,,no_numeric_score,04889bae5c069d0e24bb8e6fa13dfeda871a6210ebe6d68a0f45f35698581151
71,D_228_195,exact,,,empty,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
72,D_016_14,exact,,,no_numeric_score,3b1cfcb6ecce74b1f032d377cd31bb8237e1a70afbfd200eafa68de1c25b96be
73,I_123_932_14,exact,,,no_numeric_score,2e46415f57cf6aa75a5cba718d12474d2d21a935b06f6b28d7b32ceda1b08968
