pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_121_111,non-mated,diagnostic_impostor,na,121,121,13,14,B,A,0,A,0.664,gemma3,zero_shot,2026-09-05T19:48:27
I_044_232_13,non-mated,primary_impostor,na,044,232,13,13,B,A,0,A,0.447,gemma3,zero_shot,2026-09-05T19:48:28
I_067_932_13,non-mated,primary_impostor,na,067,932,13,13,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:28
I_169_222_13,non-mated,primary_impostor,na,169,222,13,13,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:48:29
I_051_174_13,non-mated,primary_impostor,na,051,174,13,13,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:29
D_041_36,non-mated,diagnostic_impostor,na,041,041,13,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:48:30
G_200_13_11863,mated,primary_genuine,na,200,200,13,13,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:30
I_049_269_13,non-mated,primary_impostor,na,049,269,13,13,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:30
G_256_14_13142,mated,primary_genuine,na,256,256,14,14,A,A,1,A,0.444,gemma3,zero_shot,2026-09-05T19:48:31
G_159_14_10898,mated,primary_genuine,na,159,159,14,14,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:31
G_202_14_11903,mated,primary_genuine,na,202,202,14,14,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:32
D_46_259,non-mated,diagnostic_impostor,na,46,46,13,14,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:32
G_112_14_9805,mated,primary_genuine,na,112,112,14,14,A,A,1,A,0.439,gemma3,zero_shot,2026-09-05T19:48:33
G_192_13_11674,mated,primary_genuine,na,192,192,13,13,A,A,1,A,0.441,gemma3,zero_shot,2026-09-05T19:48:33
I_009_216_13,non-mated,primary_impostor,na,009,216,13,13,B,A,0,A,0.441,gemma3,zero_shot,2026-09-05T19:48:34
D_155_135,non-mated,diagnostic_impostor,na,155,155,13,14,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:34
I_31_911_14,non-mated,primary_impostor,na,31,911,14,14,B,A,0,A,0.439,gemma3,zero_shot,2026-09-05T19:48:34
I_233_293_14,non-mated,primary_impostor,na,233,293,14,14,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:35
I_57_71_13,non-mated,primary_impostor,na,57,71,13,13,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:35
G_048_14_3830,mated,primary_genuine,na,048,048,14,14,A,A,1,A,0.445,gemma3,zero_shot,2026-09-05T19:48:36
D_191_165,non-mated,diagnostic_impostor,na,191,191,13,14,B,A,0,A,0.439,gemma3,zero_shot,2026-09-05T19:48:36
G_182_14_11428,mated,primary_genuine,na,182,182,14,14,A,A,1,A,0.442,gemma3,zero_shot,2026-09-05T19:48:37
G_009_13_633,mated,primary_genuine,na,009,009,13,13,A,A,1,A,0.445,gemma3,zero_shot,2026-09-05T19:48:37
I_83_908_13,non-mated,primary_impostor,na,83,908,13,13,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:37
I_010_173_13,non-mated,primary_impostor,na,010,173,13,13,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:48:38
D_004_2,non-mated,diagnostic_impostor,na,004,004,13,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:48:38
G_212_13_12077,mated,primary_genuine,na,212,212,13,13,A,A,1,A,0.442,gemma3,zero_shot,2026-09-05T19:48:39
G_270_14_13504,mated,primary_genuine,na,270,270,14,14,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:39
G_42_13_14322,mated,primary_genuine,na,42,42,13,13,A,A,1,A,0.441,gemma3,zero_shot,2026-09-05T19:48:40
D_128_117,non-mated,diagnostic_impostor,na,128,128,13,14,B,A,0,A,0.441,gemma3,zero_shot,2026-09-05T19:48:40
G_934_14_16443,mated,primary_genuine,na,934,934,14,14,A,A,1,A,0.452,gemma3,zero_shot,2026-09-05T19:48:41
I_059_900_13,non-mated,primary_impostor,na,059,900,13,13,B,A,0,A,0.466,gemma3,zero_shot,2026-09-05T19:48:41
I_31_82_14,non-mated,primary_impostor,na,31,82,14,14,B,A,0,A,0.453,gemma3,zero_shot,2026-09-05T19:48:42
I_034_181_14,non-mated,primary_impostor,na,034,181,14,14,B,B,1,B,0.444,gemma3,zero_shot,2026-09-05T19:48:42
G_033_13_2634,mated,primary_genuine,na,033,033,13,13,A,A,1,A,0.449,gemma3,zero_shot,2026-09-05T19:48:42
I_136_263_13,non-mated,primary_impostor,na,136,263,13,13,B,A,0,A,0.444,gemma3,zero_shot,2026-09-05T19:48:43
G_160_13_10911,mated,primary_genuine,na,160,160,13,13,A,A,1,A,0.442,gemma3,zero_shot,2026-09-05T19:48:43
G_12_13_10249,mated,primary_genuine,na,12,12,13,13,A,A,1,A,0.442,gemma3,zero_shot,2026-09-05T19:48:44
I_006_044_14,non-mated,primary_impostor,na,006,044,14,14,B,A,0,A,0.449,gemma3,zero_shot,2026-09-05T19:48:44
D_218_186,non-mated,diagnostic_impostor,na,218,218,13,14,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:48:45
D_39_252,non-mated,diagnostic_impostor,na,39,39,13,14,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:45
I_229_916_13,non-mated,primary_impostor,na,229,916,13,13,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:46
G_049_14_3960,mated,primary_genuine,na,049,049,14,14,A,A,1,A,0.447,gemma3,zero_shot,2026-09-05T19:48:46
D_918_310,non-mated,diagnostic_impostor,na,918,918,13,14,B,A,0,A,0.441,gemma3,zero_shot,2026-09-05T19:48:46
G_43_13_14353,mated,primary_genuine,na,43,43,13,13,A,A,1,A,0.439,gemma3,zero_shot,2026-09-05T19:48:47
G_923_13_16063,mated,primary_genuine,na,923,923,13,13,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:47
G_127_14_10171,mated,primary_genuine,na,127,127,14,14,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:48
D_051_45,non-mated,diagnostic_impostor,na,051,051,13,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:48:48
G_197_14_11779,mated,primary_genuine,na,197,197,14,14,A,A,1,A,0.439,gemma3,zero_shot,2026-09-05T19:48:49
G_018_14_1489,mated,primary_genuine,na,018,018,14,14,A,A,1,A,0.445,gemma3,zero_shot,2026-09-05T19:48:49
I_049_901_14,non-mated,primary_impostor,na,049,901,14,14,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:48:49
I_36_67_13,non-mated,primary_impostor,na,36,67,13,13,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:50
I_146_194_13,non-mated,primary_impostor,na,146,194,13,13,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:50
D_279_230,non-mated,diagnostic_impostor,na,279,279,13,14,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:51
I_013_919_13,non-mated,primary_impostor,na,013,919,13,13,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:51
D_094_86,non-mated,diagnostic_impostor,na,094,094,13,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:48:52
D_158_138,non-mated,diagnostic_impostor,na,158,158,13,14,B,A,0,A,0.439,gemma3,zero_shot,2026-09-05T19:48:52
I_057_909_14,non-mated,primary_impostor,na,057,909,14,14,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:53
D_099_90,non-mated,diagnostic_impostor,na,099,099,13,14,B,A,0,A,0.447,gemma3,zero_shot,2026-09-05T19:48:53
G_125_13_10127,mated,primary_genuine,na,125,125,13,13,A,A,1,A,0.439,gemma3,zero_shot,2026-09-05T19:48:53
I_048_22_13,non-mated,primary_impostor,na,048,22,13,13,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:54
G_156_13_10789,mated,primary_genuine,na,156,156,13,13,A,A,1,A,0.44,gemma3,zero_shot,2026-09-05T19:48:54
I_42_939_14,non-mated,primary_impostor,na,42,939,14,14,B,A,0,A,0.44,gemma3,zero_shot,2026-09-05T19:48:55
I_164_279_14,non-mated,primary_impostor,na,164,279,14,14,B,A,0,A,0.443,gemma3,zero_shot,2026-09-05T19:48:55
I_007_253_13,non-mated,primary_impostor,na,007,253,13,13,B,A,0,A,0.445,gemma3,zero_shot,2026-09-05T19:48:56
I_902_919_14,non-mated,primary_impostor,na,902,919,14,14,B,A,0,A,0.441,gemma3,zero_shot,2026-09-05T19:48:56
I_100_189_13,non-mated,primary_impostor,na,100,189,13,13,B,A,0,A,0.444,gemma3,zero_shot,2026-09-05T19:48:57
G_122_13_10044,mated,primary_genuine,na,122,122,13,13,A,A,1,A,0.441,gemma3,zero_shot,2026-09-05T19:48:57
I_024_130_13,non-mated,primary_impostor,na,024,130,13,13,B,A,0,A,0.444,gemma3,zero_shot,2026-09-05T19:48:57
G_284_14_13708,mated,primary_genuine,na,284,284,14,14,A,A,1,A,0.441,gemma3,zero_shot,2026-09-05T19:48:58
D_228_195,non-mated,diagnostic_impostor,na,228,228,13,14,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:48:58
D_016_14,non-mated,diagnostic_impostor,na,016,016,13,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:48:59
I_123_932_14,non-mated,primary_impostor,na,123,932,14,14,B,A,0,A,0.441,gemma3,zero_shot,2026-09-05T19:48:59
D_101_92,non-mated,diagnostic_impostor,na,101,101,13,14,B,A,0,A,0.458,gemma3,zero_shot,2026-09-05T19:49:00
G_026_13_2176,mated,primary_genuine,na,026,026,13,13,A,A,1,A,0.47,gemma3,zero_shot,2026-09-05T19:49:00
D_35_248,non-mated,diagnostic_impostor,na,35,35,13,14,B,A,0,A,0.453,gemma3,zero_shot,2026-09-05T19:49:01
I_055_932_14,non-mated,primary_impostor,na,055,932,14,14,B,A,0,A,0.442,gemma3,zero_shot,2026-09-05T19:49:01
G_159_13_10878,mated,primary_genuine,na,159,159,13,13,A,A,1,A,0.441,gemma3,zero_shot,2026-09-05T19:49:01
I_026_051_14,non-mated,primary_impostor,na,026,051,14,14,B,A,0,A,0.446,gemma3,zero_shot,2026-09-05T19:49:02
