pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,A,A,False,0.58,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:26
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,B,B,True,0.273,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:26
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,A,A,False,0.275,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:26
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,A,A,False,0.275,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:27
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,B,B,True,0.272,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:27
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,B,B,True,0.272,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:27
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,B,B,True,0.274,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:28
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,B,B,True,0.275,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:28
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,A,A,False,0.273,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:28
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,B,B,True,0.272,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:28
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,B,B,True,0.272,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:29
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,A,A,False,0.274,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:29
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,A,A,False,0.276,Qwen3-VL-8B-Instruct,zero_shot,2026-06-13T15:59:29
