source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,I_00002373_00002383_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
2,I_00002373_00002409_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
3,I_00002371_00002415_frgp14,not_audited,52,52.0,explicit_score,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d
4,I_00002357_00002367_frgp13,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
5,I_00002356_00002403_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
6,I_00002409_00002424_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
7,I_00002344_00002362_frgp13,not_audited,68,68.0,explicit_score,a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf
8,I_00002394_00002406_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
9,I_00002303_00002428_frgp13,not_audited,65,65.0,explicit_score,108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f
10,I_00002358_00002374_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
11,I_00002355_00002455_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
12,I_00002405_00002406_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
13,I_00002356_00002409_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
14,I_00002360_00002369_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
15,I_00002360_00002481_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
16,I_00002339_00002352_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
17,I_00002312_00002340_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
18,I_00002319_00002380_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
19,I_00002348_00002367_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
20,I_00002395_00002405_frgp13,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
21,I_00002401_00002405_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
22,I_00002399_00002415_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
23,I_00002399_00002440_frgp14,not_audited,78,78.0,explicit_score,349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9
24,I_00002349_00002391_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
25,I_00002351_00002386_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
26,I_00002360_00002447_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
27,I_00002344_00002379_frgp13,not_audited,40,40.0,explicit_score,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
28,I_00002326_00002369_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
29,I_00002399_00002428_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
30,I_00002399_00002406_frgp14,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
31,I_00002396_00002401_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
32,I_00002340_00002376_frgp13,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
33,I_00002327_00002398_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
34,I_00002317_00002381_frgp14,not_audited,78,78.0,explicit_score,349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9
35,I_00002314_00002351_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
36,I_00002356_00002360_frgp13,not_audited,45,45.0,explicit_score,811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c
37,I_00002337_00002388_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
38,I_00002328_00002383_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
39,I_00002374_00002481_frgp13,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
40,I_00002303_00002317_frgp13,not_audited,55,55.0,explicit_score,02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc
41,I_00002341_00002357_frgp14,not_audited,78,78.0,explicit_score,349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9
42,I_00002303_00002319_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
43,I_00002325_00002376_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
44,I_00002310_00002423_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
45,I_00002320_00002340_frgp13,not_audited,60,60.0,explicit_score,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9
46,I_00002407_00002418_frgp13,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
47,I_00002356_00002360_frgp14,not_audited,60,60.0,explicit_score,39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9
48,I_00002386_00002425_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
49,I_00002338_00002412_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
50,I_00002315_00002320_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
51,I_00002353_00002360_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
52,I_00002349_00002360_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
53,I_00002310_00002415_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
54,I_00002314_00002408_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
55,G_2303_frgp14,not_audited,100,100.0,explicit_score,ad57366865126e55649ecb23ae1d48887544976efea46a48eb5d85a6eeb4d306
56,I_00002356_00002373_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
57,I_00002317_00002358_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
58,I_00002369_00002447_frgp14,not_audited,32,32.0,explicit_score,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
59,I_00002334_00002386_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
60,I_00002401_00002455_frgp14,not_audited,32,32.0,explicit_score,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
61,I_00002360_00002462_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
62,I_00002326_00002418_frgp13,not_audited,78,78.0,explicit_score,349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9
63,I_00002412_00002428_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
64,I_00002329_00002447_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
65,I_00002364_00002373_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
66,I_00002358_00002423_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
67,I_00002325_00002455_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
68,I_00002314_00002321_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
69,I_00002367_00002405_frgp13,not_audited,52,52.0,explicit_score,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d
70,I_00002306_00002348_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
71,I_00002374_00002379_frgp14,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
72,I_00002342_00002359_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
73,I_00002303_00002403_frgp14,not_audited,25,25.0,explicit_score,b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569
74,I_00002303_00002307_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
75,I_00002307_00002313_frgp14,not_audited,62,62.0,explicit_score,81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a
76,I_00002325_00002374_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
77,G_2392_frgp14,not_audited,92,92.0,explicit_score,8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d
78,I_00002304_00002379_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
79,I_00002364_00002413_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
80,I_00002362_00002407_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
81,I_00002338_00002380_frgp13,not_audited,62,62.0,explicit_score,81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a
82,I_00002406_00002413_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
83,I_00002371_00002395_frgp14,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
84,I_00002375_00002388_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
85,G_2356_frgp13,not_audited,98,98.0,explicit_score,29db0c6782dbd5000559ef4d9e953e300e2b479eed26d887ef3f92b921c06a67
86,I_00002409_00002440_frgp14,not_audited,72,72.0,explicit_score,8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede
87,I_00002313_00002372_frgp14,not_audited,52,52.0,explicit_score,41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d
88,I_00002315_00002423_frgp13,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
89,I_00002349_00002376_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
90,I_00002391_00002395_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
91,I_00002395_00002415_frgp13,not_audited,32,32.0,explicit_score,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
92,I_00002328_00002370_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
93,I_00002306_00002481_frgp13,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
94,I_00002337_00002355_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
95,I_00002373_00002380_frgp14,not_audited,30,30.0,explicit_score,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
96,I_00002326_00002423_frgp14,not_audited,50,50.0,explicit_score,1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb
97,I_00002352_00002376_frgp14,not_audited,35,35.0,explicit_score,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
