pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,A,A,False,0.446,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:49
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,A,A,False,0.274,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:49
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,A,A,False,0.276,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:49
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,A,A,False,0.277,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:50
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,A,A,False,0.286,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:50
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,A,A,False,0.289,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:50
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,A,A,False,0.289,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:50
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,A,A,False,0.289,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:51
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,A,A,False,0.291,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:51
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,A,A,False,0.291,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:51
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,A,A,False,0.281,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:52
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:52
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,A,A,False,0.27,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:52
I_00002360_00002369_frgp13,impostor,13,right,00002360,00002369,B,A,A,False,0.273,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:52
I_00002360_00002481_frgp13,impostor,13,right,00002360,00002481,B,A,A,False,0.276,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:53
I_00002339_00002352_frgp14,impostor,14,left,00002339,00002352,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:53
I_00002312_00002340_frgp14,impostor,14,left,00002312,00002340,B,A,A,False,0.27,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:53
I_00002319_00002380_frgp13,impostor,13,right,00002319,00002380,B,A,A,False,0.269,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:54
I_00002348_00002367_frgp14,impostor,14,left,00002348,00002367,B,A,A,False,0.272,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:54
I_00002395_00002405_frgp13,impostor,13,right,00002395,00002405,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:54
I_00002401_00002405_frgp14,impostor,14,left,00002401,00002405,B,A,A,False,0.272,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:54
I_00002399_00002415_frgp14,impostor,14,left,00002399,00002415,B,A,A,False,0.273,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:55
I_00002399_00002440_frgp14,impostor,14,left,00002399,00002440,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:55
I_00002349_00002391_frgp14,impostor,14,left,00002349,00002391,B,A,A,False,0.273,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:55
I_00002351_00002386_frgp13,impostor,13,right,00002351,00002386,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:55
I_00002360_00002447_frgp13,impostor,13,right,00002360,00002447,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:56
I_00002344_00002379_frgp13,impostor,13,right,00002344,00002379,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:56
I_00002326_00002369_frgp13,impostor,13,right,00002326,00002369,B,A,A,False,0.271,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:56
I_00002399_00002428_frgp14,impostor,14,left,00002399,00002428,B,A,A,False,0.272,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:57
I_00002399_00002406_frgp14,impostor,14,left,00002399,00002406,B,A,A,False,0.274,Qwen3-VL-8B-Instruct,task_description,2026-06-13T16:36:57
