pair_id,label,category,device_pair,img1_path,img2_path
G_2356_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002356_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002356_R_1000_slap_13.png
G_2372_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002372_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002372_R_1000_slap_14.png
I_00002304_00002312_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_13.png
G_2394_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002394_R_1000_slap_14.png
I_00002304_00002463_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002463_R_500_slap_13.png
I_00002330_00002447_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002447_R_500_slap_14.png
I_00002304_00002386_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002386_R_500_slap_13.png
G_2351_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002351_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002351_R_1000_slap_13.png
G_2418_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002418_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002418_R_1000_slap_14.png
I_00002304_00002425_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002425_R_500_slap_13.png
G_2359_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002359_R_1000_slap_13.png
G_2392_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002392_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002392_R_1000_slap_14.png
I_00002304_00002341_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002341_R_500_slap_13.png
I_00002330_00002339_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002339_R_500_slap_14.png
G_2403_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002403_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002403_R_1000_slap_13.png
G_2373_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002373_R_1000_slap_13.png
G_2394_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002394_R_1000_slap_13.png
I_00002330_00002326_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_14.png
G_2462_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002462_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002462_R_1000_slap_13.png
G_2384_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002384_R_1000_slap_14.png
I_00002330_00002412_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002412_R_500_slap_14.png
G_2353_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002353_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002353_R_1000_slap_13.png
I_00002304_00002348_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002348_R_500_slap_13.png
G_2375_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002375_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002375_R_1000_slap_13.png
G_2407_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002407_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002407_R_1000_slap_14.png
I_00002304_00002412_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002412_R_500_slap_13.png
I_00002330_00002371_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002371_R_500_slap_14.png
G_2440_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002440_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002440_R_1000_slap_14.png
G_2332_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002332_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002332_R_1000_slap_14.png
I_00002330_00002481_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002481_R_500_slap_14.png
I_00002330_00002312_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_14.png
I_00002330_00002383_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002383_R_500_slap_14.png
G_2342_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002342_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002342_R_1000_slap_13.png
G_2401_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002401_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002401_R_1000_slap_14.png
G_2326_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002326_R_1000_slap_13.png
I_00002304_00002424_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002424_R_500_slap_13.png
G_2313_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002313_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002313_R_1000_slap_13.png
G_2369_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002369_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002369_R_1000_slap_14.png
I_00002304_00002306_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002306_R_500_slap_13.png
G_2415_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002415_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002415_R_1000_slap_14.png
G_2425_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002425_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002425_R_1000_slap_13.png
I_00002304_00002398_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002398_R_500_slap_13.png
G_2409_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002409_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002409_R_1000_slap_13.png
I_00002330_00002394_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_14.png
I_00002304_00002376_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002376_R_500_slap_13.png
I_00002304_00002339_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002339_R_500_slap_13.png
G_2338_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002338_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002338_R_1000_slap_14.png
I_00002304_00002337_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002337_R_500_slap_13.png
I_00002304_00002321_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002321_R_500_slap_13.png
G_2386_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002386_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002386_R_1000_slap_13.png
I_00002330_00002310_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002310_R_500_slap_14.png
I_00002304_00002326_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_13.png
I_00002304_00002315_frgp13,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002315_R_500_slap_13.png
I_00002330_00002356_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002356_R_500_slap_14.png
G_2359_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002359_R_1000_slap_14.png
G_2383_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002383_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002383_R_1000_slap_14.png
I_00002330_00002314_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002314_R_500_slap_14.png
I_00002330_00002306_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002306_R_500_slap_14.png
G_2367_frgp13,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002367_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002367_R_1000_slap_13.png
G_2380_frgp14,mated,primary_genuine,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002380_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/1000/slap/png/00002380_R_1000_slap_14.png
I_00002330_00002406_frgp14,non-mated,primary_impostor,na,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/datasets/sd302b/images/baseline/R/500/slap/png/00002406_R_500_slap_14.png
