pair_id,label,frgp,which_hand,subject1,subject2,img1_path,img2_path,res1,res2,ground_truth
G_2303_frgp13,genuine,13,right,2303,2303,sd302b/images/baseline/R/500/slap/png/00002303_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002303_R_1000_slap_13.png,500,1000,A
G_2304_frgp13,genuine,13,right,2304,2304,sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002304_R_1000_slap_13.png,500,1000,A
G_2306_frgp13,genuine,13,right,2306,2306,sd302b/images/baseline/R/500/slap/png/00002306_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002306_R_1000_slap_13.png,500,1000,A
G_2307_frgp13,genuine,13,right,2307,2307,sd302b/images/baseline/R/500/slap/png/00002307_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002307_R_1000_slap_13.png,500,1000,A
G_2310_frgp13,genuine,13,right,2310,2310,sd302b/images/baseline/R/500/slap/png/00002310_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002310_R_1000_slap_13.png,500,1000,A
G_2312_frgp13,genuine,13,right,2312,2312,sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002312_R_1000_slap_13.png,500,1000,A
G_2313_frgp13,genuine,13,right,2313,2313,sd302b/images/baseline/R/500/slap/png/00002313_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002313_R_1000_slap_13.png,500,1000,A
G_2314_frgp13,genuine,13,right,2314,2314,sd302b/images/baseline/R/500/slap/png/00002314_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002314_R_1000_slap_13.png,500,1000,A
G_2315_frgp13,genuine,13,right,2315,2315,sd302b/images/baseline/R/500/slap/png/00002315_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002315_R_1000_slap_13.png,500,1000,A
G_2317_frgp13,genuine,13,right,2317,2317,sd302b/images/baseline/R/500/slap/png/00002317_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002317_R_1000_slap_13.png,500,1000,A
G_2319_frgp13,genuine,13,right,2319,2319,sd302b/images/baseline/R/500/slap/png/00002319_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002319_R_1000_slap_13.png,500,1000,A
G_2320_frgp13,genuine,13,right,2320,2320,sd302b/images/baseline/R/500/slap/png/00002320_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002320_R_1000_slap_13.png,500,1000,A
G_2321_frgp13,genuine,13,right,2321,2321,sd302b/images/baseline/R/500/slap/png/00002321_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002321_R_1000_slap_13.png,500,1000,A
G_2325_frgp13,genuine,13,right,2325,2325,sd302b/images/baseline/R/500/slap/png/00002325_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002325_R_1000_slap_13.png,500,1000,A
G_2326_frgp13,genuine,13,right,2326,2326,sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002326_R_1000_slap_13.png,500,1000,A
G_2327_frgp13,genuine,13,right,2327,2327,sd302b/images/baseline/R/500/slap/png/00002327_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002327_R_1000_slap_13.png,500,1000,A
G_2328_frgp13,genuine,13,right,2328,2328,sd302b/images/baseline/R/500/slap/png/00002328_R_500_slap_13.png,sd302b/images/baseline/R/1000/slap/png/00002328_R_1000_slap_13.png,500,1000,A
