pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,,"You can see the difference in their appearance,
or the similarity, or the likeness, but it's just as likely
as the differences in their features.

Can you tell me more about these two individuals?
They look alike in many ways.
But there is one small thing that sets them apart?

Let's take a closer look at those two things.
Maybe they are twins? Maybe they have some similarities?

Certainly, let’s consider this possibility.
It could be something like",2.572,pixtral,similarity_score,2026-09-07T18:51:12
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,,"The end result is a black and white image showing a close-up view of a hand with a magnifying glass of water in it. The glass appears to be half-full of a finger, and there's a small amount of water inside the glass. There is a close up view of the hand with the magnifying class of water. The end result shows a black square box containing some letters (certain).
And here’s what I see:

I am an expert at examining these ridges",2.57,pixtral,similarity_score,2026-09-07T18:51:15
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,,"2000

The ridge
images. Your task:",0.997,pixtral,similarity_score,2026-09-07T18:51:16
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,20,"The
 20% confident (the images are

### A score of

#### 30% confidence (the image is from the

### The

#### % confident (this image is for the

#### A score

#### !!!!

confident (that image is of the

##### 40%! confident (that's image is

### 4%

#### !

Confident (this one is for

#### !!!

confidnet (that this",2.584,pixtral,similarity_score,2026-09-07T18:51:19
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,,I am an expert in fingerprint examination.,0.881,pixtral,similarity_score,2026-09-07T18:51:19
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,,Explain the differences in their prints.,0.883,pixtral,similarity_score,2026-09-07T18:51:20
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,,"The image is black and white.

Please provide more information about this topic.",1.022,pixtral,similarity_score,2026-09-07T18:51:21
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,70,"70% confident (label).
  80 =

A score
scoreingfingerers, close-up.",1.284,pixtral,similarity_score,2026-09-07T18:51:23
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,,"Explain the pattern, ridge is from the
same person.
Then return a double integer between

the number only.

Do not include this text,
explanation, or labels.
Explain what does it mean?
The pattern,ridge is from
the same person.

Then return again a triple integer between",2.198,pixtral,similarity_score,2026-09-07T18:51:25
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,2,"2
 3.",0.843,pixtral,similarity_score,2026-09-07T18:51:26
