pair_id,label,category,subject1,subject2,hand1,hand2,device_pair,img1_path,img2_path
G_109_13_9246,mated,primary_genuine,109,109,13,13,na,datasets/Precise/109_03-13-F25W_20130805165758_13.jpeg,datasets/Precise/109_10-13-F25W_20130805170340_13.jpeg
I_232_923_14,non-mated,primary_impostor,232,923,14,14,na,datasets/Precise/232_DY_150128-153451_14.jpeg,datasets/Precise/923_DY_150217-125702_14.jpeg
I_136_227_13,non-mated,primary_impostor,136,227,13,13,na,datasets/Precise/136_DY_150128-092024_13.jpeg,datasets/Precise/227_DY_150128-165646_13.jpeg
G_049_14_3926,mated,primary_genuine,049,049,14,14,na,datasets/Precise/049_03-14-M48W_20130806174606_14.jpeg,datasets/Precise/049_04-14-M48W_20130806174652_14.jpeg
I_132_260_13,non-mated,primary_impostor,132,260,13,13,na,datasets/Precise/132_DY_150128-090416_13.jpeg,datasets/Precise/260_DY_150129-082924_13.jpeg
I_163_190_13,non-mated,primary_impostor,163,190,13,13,na,datasets/Precise/163_DY_150128-110612_13.jpeg,datasets/Precise/190_150128-150615_13.jpeg
I_248_30_13,non-mated,primary_impostor,248,30,13,13,na,datasets/Precise/248_DY_150129-085223_13.jpeg,datasets/Precise/30_DY_150127-102125_13.jpeg
I_16_916_14,non-mated,primary_impostor,16,916,14,14,na,datasets/Precise/16_DY_150127-091336_14.jpeg,datasets/Precise/916_DY_150217-122233_14.jpeg
G_041_13_3283,mated,primary_genuine,041,041,13,13,na,datasets/Precise/041_08-13-F53W_20130807095115_13.jpeg,datasets/Precise/041_10-13-F53W_20130807095312_13.jpeg
I_122_88_13,non-mated,primary_impostor,122,88,13,13,na,datasets/Precise/122_DY_150127-174728_13.jpeg,datasets/Precise/88_DY_150127-152101_13.jpeg
G_034_14_2783,mated,primary_genuine,034,034,14,14,na,datasets/Precise/034_06-14-F21W_20130808110515_14.jpeg,datasets/Precise/034_10-14-F21W_20130808110834_14.jpeg
I_37_47_13,non-mated,primary_impostor,37,47,13,13,na,datasets/Precise/37_DY_150127-110354_13.jpeg,datasets/Precise/47_DY_150127-120031_13.jpeg
I_270_925_14,non-mated,primary_impostor,270,925,14,14,na,datasets/Precise/270_DY_150129-102335_14.jpeg,datasets/Precise/925_DY_150217-130513_14.jpeg
I_143_22_14,non-mated,primary_impostor,143,22,14,14,na,datasets/Precise/143_DY_150128-093742_14.jpeg,datasets/Precise/22_DY_150127-092550_14.jpeg
I_084_180_14,non-mated,primary_impostor,084,180,14,14,na,datasets/Precise/084_01-14-M52W_20130807081137_14.jpeg,datasets/Precise/180_DY_150128-125452_14.jpeg
I_220_50_14,non-mated,primary_impostor,220,50,14,14,na,datasets/Precise/220_DY_150128-161115_14.jpeg,datasets/Precise/50_DY_150127-122000_14.jpeg
G_020_13_1663,mated,primary_genuine,020,020,13,13,na,datasets/Precise/020_08-13-F53AA_20130806101927_13.jpeg,datasets/Precise/020_10-13-F53AA_20130806102141_13.jpeg
I_040_271_14,non-mated,primary_impostor,040,271,14,14,na,datasets/Precise/040_01-14-F56W_20130806103823_14.jpeg,datasets/Precise/271_DY_150129-095604_14.jpeg
G_033_14_2684,mated,primary_genuine,033,033,14,14,na,datasets/Precise/033_04-14-F28W_20130808172445_14.jpeg,datasets/Precise/033_10-14-F28W_20130808172924_14.jpeg
I_058_128_14,non-mated,primary_impostor,058,128,14,14,na,datasets/Precise/058_01-14-M40I_20130806163547_14.jpeg,datasets/Precise/128_DY_150128-082830_14.jpeg
I_011_144_14,non-mated,primary_impostor,011,144,14,14,na,datasets/Precise/011_01-14-F24A_20130808164122_14.jpeg,datasets/Precise/144_DY_150128-095630_14.jpeg
G_031_13_2458,mated,primary_genuine,031,031,13,13,na,datasets/Precise/031_04-13-F46H_20130808161203_13.jpeg,datasets/Precise/031_09-13-F46H_20130808161628_13.jpeg
I_075_929_14,non-mated,primary_impostor,075,929,14,14,na,datasets/Precise/075_01-14-F28AA_20130808092400_14.jpeg,datasets/Precise/929_DY_150217-132249_14.jpeg
I_007_253_13,non-mated,primary_impostor,007,253,13,13,na,datasets/Precise/007_01-13-F61AA_20130806095739_13.jpeg,datasets/Precise/253_DY_150129-104417_13.jpeg
I_271_906_14,non-mated,primary_impostor,271,906,14,14,na,datasets/Precise/271_DY_150129-095604_14.jpeg,datasets/Precise/906_DY_150217-112250_14.jpeg
I_044_062_14,non-mated,primary_impostor,044,062,14,14,na,datasets/Precise/044_01-14-M70H_20130806140659_14.jpeg,datasets/Precise/062_01-14-M41AA_20130808095159_14.jpeg
I_167_169_13,non-mated,primary_impostor,167,169,13,13,na,datasets/Precise/167_DY_150128-114213_13.jpeg,datasets/Precise/169_DY_150128-115831_13.jpeg
I_070_116_13,non-mated,primary_impostor,070,116,13,13,na,datasets/Precise/070_01-13-F33A_20130807084001_13.jpeg,datasets/Precise/116_DY_150127-171134_13.jpeg
I_086_11_14,non-mated,primary_impostor,086,11,14,14,na,datasets/Precise/086_01-14-M23AA_20130807093244_14.jpeg,datasets/Precise/11_DY_150127-085828_14.jpeg
I_225_48_13,non-mated,primary_impostor,225,48,13,13,na,datasets/Precise/225_DY_150128-164234_13.jpeg,datasets/Precise/48_DY_150127-121148_13.jpeg
I_246_924_14,non-mated,primary_impostor,246,924,14,14,na,datasets/Precise/246_DY_150129-083904_14.jpeg,datasets/Precise/924_DY_150217-130128_14.jpeg
I_14_249_14,non-mated,primary_impostor,14,249,14,14,na,datasets/Precise/14_DY_150127-090847_14.jpeg,datasets/Precise/249_DY_150129-084813_14.jpeg
I_110_914_14,non-mated,primary_impostor,110,914,14,14,na,datasets/Precise/110_01-14-F27W_20130805161254_14.jpeg,datasets/Precise/914_DY_150217-120950_14.jpeg
I_197_215_13,non-mated,primary_impostor,197,215,13,13,na,datasets/Precise/197_DY_150128-134629_13.jpeg,datasets/Precise/215_DY_150128-150748_13.jpeg
I_214_249_13,non-mated,primary_impostor,214,249,13,13,na,datasets/Precise/214_DY_150128-150430_13.jpeg,datasets/Precise/249_DY_150129-084813_13.jpeg
I_037_71_14,non-mated,primary_impostor,037,71,14,14,na,datasets/Precise/037_01-14-F25W_20130807123517_14.jpeg,datasets/Precise/71_DY_150127-141140_14.jpeg
I_212_72_14,non-mated,primary_impostor,212,72,14,14,na,datasets/Precise/212_DY_150128-143726_14.jpeg,datasets/Precise/72_DY_150127-141755_14.jpeg
G_050_14_4040,mated,primary_genuine,050,050,14,14,na,datasets/Precise/050_05-14-M62W_20130808144623_14.jpeg,datasets/Precise/050_10-14-M62W_20130808145039_14.jpeg
I_183_232_13,non-mated,primary_impostor,183,232,13,13,na,datasets/Precise/183_DY_150128-133452_13.jpeg,datasets/Precise/232_DY_150128-153451_13.jpeg
I_155_196_14,non-mated,primary_impostor,155,196,14,14,na,datasets/Precise/155_DY_150128-105224_14.jpeg,datasets/Precise/196_DY_150128-140955_14.jpeg
I_020_118_14,non-mated,primary_impostor,020,118,14,14,na,datasets/Precise/020_01-14-F53AA_20130806101228_14.jpeg,datasets/Precise/118_NM_150127-171434_14.jpeg
G_266_14_13373,mated,primary_genuine,266,266,14,14,na,datasets/Precise/266_DY_150129-095231_14.jpeg,datasets/Precise/266_WT_150129-095128_14.jpeg
I_46_78_13,non-mated,primary_impostor,46,78,13,13,na,datasets/Precise/46_DY_150127-115039_13.jpeg,datasets/Precise/78_DY_150127-145504_13.jpeg
I_101_289_13,non-mated,primary_impostor,101,289,13,13,na,datasets/Precise/101_01-13-M55W_20130807120525_13.jpeg,datasets/Precise/289_DY_150129-130405_13.jpeg
I_51_910_14,non-mated,primary_impostor,51,910,14,14,na,datasets/Precise/51_DY_150127-114528_14.jpeg,datasets/Precise/910_DY_150217-114804_14.jpeg
I_003_090_13,non-mated,primary_impostor,003,090,13,13,na,datasets/Precise/003_01-13-F68A_20130806125351_13.jpeg,datasets/Precise/090_01-13-M26W_20130808115629_13.jpeg
I_249_907_13,non-mated,primary_impostor,249,907,13,13,na,datasets/Precise/249_DY_150129-084813_13.jpeg,datasets/Precise/907_DY_150217-113005_13.jpeg
I_156_249_14,non-mated,primary_impostor,156,249,14,14,na,datasets/Precise/156_DY_150128-105600_14.jpeg,datasets/Precise/249_DY_150129-084813_14.jpeg
G_225_13_12425,mated,primary_genuine,225,225,13,13,na,datasets/Precise/225_DY_150128-164234_13.jpeg,datasets/Precise/225_NM_150128-174054_13.jpeg
G_048_13_3811,mated,primary_genuine,048,048,13,13,na,datasets/Precise/048_05-13-F47W_20130807113905_13.jpeg,datasets/Precise/048_07-13-F47W_20130807114125_13.jpeg
