source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_43210_63,exact,,,no_numeric_score,56eaedcb32587b20f1acd791b9ffd2f05278f62ea3d82948e6d4c4cb162f8edb
2,G_58398_left_1287,exact,,,no_numeric_score,274bdac9c5dbb21e6cc137a7cdbbbc11c3fecb1d4788a0a5f8f86a26a1047439
3,G_56583_left_842,exact,,,numeric_prose_review,832d30c9ebc4494000ae962a689e637e658999a7f01e80a2ddf7f2199cadb06a
4,I_14493_83742_left_s,exact,20,,numeric_prose_review,9548e020e239e07a9d7983efeb7e702c89c148559159d235e74cd8c0e42438dd
5,I_57145_65052_left_x,exact,,,no_numeric_score,f53177e257cf963c0222b8caf9fa70dfb6ce2d5dd732b6a3d5a1deba1833a326
6,I_56583_93812_left_s,exact,,,no_numeric_score,ef7b002b8832943b3c6fa665aaa54f58b82344a49278623908d76630621d4c97
7,I_24101_57145_left_s,exact,,,no_numeric_score,269f4031d834d5690c3ea7649d14e7b76de103604141b05b7020e0b22526f0b3
8,G_83742_left_2229,exact,70,,numeric_prose_review,b46ccce0408f4673155842a5a3ce739129608275cbad3e0e12b8a24cbada135c
9,G_57833_left_1183,exact,,,no_numeric_score,c2ed45504b670b6ca897c7adefc27a4b29d4cc670dc37bb576d7a9e5b8ce43b3
10,G_69658_left_1866,exact,2,,numeric_prose_review,f16d0157c299048288c20a70fc4f6eb943f59dcb7c606196a7c753841dc806bf
11,I_24101_57145_left_x,exact,70,,numeric_prose_review,4fe50a93a70ce1305a09578fc22db8a08293c7caf1b0cdfe78ce1310728cf94b
12,G_24101_right_301,exact,20,,numeric_prose_review,fb3137f9a78cd2296e74618a79f726d118c0641cda8b77961c2615342b298180
13,D_56583_99,exact,20,,numeric_prose_review,f881159bc45f044eb4feb78102be88e93702b786fd1533e8cfd9244b994db9cf
14,G_63029_left_1482,exact,,,uncertainty_or_refusal_review,b058c5483bdada4490e7488a95383b839458112922b83a5133e2a4d11bf48aac
15,I_24101_87757_right_x,exact,,,no_numeric_score,e83098beb0d25efd3b30e88289a766f60d8e2e7c2617f352c6faea425d2bb798
16,G_89171_left_2506,exact,2,,numeric_prose_review,8669bb93074cef9327605cbed263c3781dfb1a3a1c526b97984e1c5805257cbd
17,G_43210_left_580,exact,,,no_numeric_score,58b261f15f85c873d0d35f6fec75c42357edae08199e6e1090d499d1bdaa7a74
18,I_44595_47904_left_s,exact,,,no_numeric_score,ad2847096178384efe534a6d0a03aab928d31c75f53bac04142fc8cd4b874d26
19,G_44595_left_742,exact,20,,numeric_prose_review,b39d6fa94d7c503e2398424e2b6b17d925c5f684299d516fd1ddbb9249be9a99
