pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
G_2356_frgp13,genuine,13,right,00002356,00002356,A,A,A,True,1.401,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:35
G_2372_frgp14,genuine,14,left,00002372,00002372,A,A,A,True,0.633,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:36
I_00002304_00002312_frgp13,impostor,13,right,00002304,00002312,B,A,A,False,0.54,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:36
G_2394_frgp14,genuine,14,left,00002394,00002394,A,A,A,True,0.62,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:37
I_00002304_00002463_frgp13,impostor,13,right,00002304,00002463,B,A,A,False,0.542,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:37
I_00002330_00002447_frgp14,impostor,14,left,00002330,00002447,B,A,A,False,0.549,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:38
I_00002304_00002386_frgp13,impostor,13,right,00002304,00002386,B,A,A,False,0.542,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:38
G_2351_frgp13,genuine,13,right,00002351,00002351,A,A,A,True,0.619,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:39
G_2418_frgp14,genuine,14,left,00002418,00002418,A,A,A,True,0.627,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:40
I_00002304_00002425_frgp13,impostor,13,right,00002304,00002425,B,A,A,False,0.551,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:40
G_2359_frgp13,genuine,13,right,00002359,00002359,A,A,A,True,0.633,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:41
G_2392_frgp14,genuine,14,left,00002392,00002392,A,A,A,True,0.627,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:41
I_00002304_00002341_frgp13,impostor,13,right,00002304,00002341,B,A,A,False,0.561,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:42
I_00002330_00002339_frgp14,impostor,14,left,00002330,00002339,B,B,B,True,0.555,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:42
G_2403_frgp13,genuine,13,right,00002403,00002403,A,A,A,True,0.649,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:43
G_2373_frgp13,genuine,13,right,00002373,00002373,A,A,A,True,0.639,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:44
G_2394_frgp13,genuine,13,right,00002394,00002394,A,A,A,True,0.626,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:44
I_00002330_00002326_frgp14,impostor,14,left,00002330,00002326,B,A,A,False,0.541,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:45
G_2462_frgp13,genuine,13,right,00002462,00002462,A,A,A,True,0.624,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:46
G_2384_frgp14,genuine,14,left,00002384,00002384,A,A,A,True,0.624,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:46
I_00002330_00002412_frgp14,impostor,14,left,00002330,00002412,B,B,B,True,0.539,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:47
G_2353_frgp13,genuine,13,right,00002353,00002353,A,A,A,True,0.628,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:47
I_00002304_00002348_frgp13,impostor,13,right,00002304,00002348,B,B,B,True,0.54,InternVL3-8B-Instruct,zero_shot,2026-05-24T17:21:48
