pair_id,label,ground_truth,frgp,which_hand,subject1,subject2,img1_path,img2_path,s1_age,s1_gender,s1_race,s2_age,s2_gender,s2_race
G_2356_frgp13,genuine,A,13,right,00002356,00002356,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002356_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002356_R_1000_slap_13.png,48,male,white,48,male,white
G_2372_frgp14,genuine,A,14,left,00002372,00002372,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002372_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002372_R_1000_slap_14.png,52,male,african american,52,male,african american
I_00002304_00002312_frgp13,impostor,B,13,right,00002304,00002312,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_13.png,37,male,white,57,female,white
G_2394_frgp14,genuine,A,14,left,00002394,00002394,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002394_R_1000_slap_14.png,41,male,white,41,male,white
I_00002304_00002463_frgp13,impostor,B,13,right,00002304,00002463,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002463_R_500_slap_13.png,37,male,white,52,female,asian
I_00002330_00002447_frgp14,impostor,B,14,left,00002330,00002447,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002447_R_500_slap_14.png,36,male,asian,53,female,african american
I_00002304_00002386_frgp13,impostor,B,13,right,00002304,00002386,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002386_R_500_slap_13.png,37,male,white,59,female,white
G_2351_frgp13,genuine,A,13,right,00002351,00002351,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002351_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002351_R_1000_slap_13.png,32,male,african american,32,male,african american
G_2418_frgp14,genuine,A,14,left,00002418,00002418,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002418_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002418_R_1000_slap_14.png,36,female,white,36,female,white
I_00002304_00002425_frgp13,impostor,B,13,right,00002304,00002425,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002425_R_500_slap_13.png,37,male,white,32,female,white
G_2359_frgp13,genuine,A,13,right,00002359,00002359,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002359_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002359_R_1000_slap_13.png,56,male,white,56,male,white
G_2392_frgp14,genuine,A,14,left,00002392,00002392,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002392_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002392_R_1000_slap_14.png,45,male,white,45,male,white
I_00002304_00002341_frgp13,impostor,B,13,right,00002304,00002341,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002341_R_500_slap_13.png,37,male,white,43,female,white
I_00002330_00002339_frgp14,impostor,B,14,left,00002330,00002339,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002339_R_500_slap_14.png,36,male,asian,35,male,asian
G_2403_frgp13,genuine,A,13,right,00002403,00002403,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002403_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002403_R_1000_slap_13.png,52,female,african american,52,female,african american
G_2373_frgp13,genuine,A,13,right,00002373,00002373,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002373_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002373_R_1000_slap_13.png,24,male,white,24,male,white
G_2394_frgp13,genuine,A,13,right,00002394,00002394,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002394_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002394_R_1000_slap_13.png,41,male,white,41,male,white
I_00002330_00002326_frgp14,impostor,B,14,left,00002330,00002326,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_14.png,36,male,asian,56,male,white
G_2462_frgp13,genuine,A,13,right,00002462,00002462,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002462_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002462_R_1000_slap_13.png,32,male,other,32,male,other
G_2384_frgp14,genuine,A,14,left,00002384,00002384,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002384_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002384_R_1000_slap_14.png,36,female,white,36,female,white
I_00002330_00002412_frgp14,impostor,B,14,left,00002330,00002412,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002412_R_500_slap_14.png,36,male,asian,27,male,other
G_2353_frgp13,genuine,A,13,right,00002353,00002353,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002353_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002353_R_1000_slap_13.png,40,female,african american,40,female,african american
I_00002304_00002348_frgp13,impostor,B,13,right,00002304,00002348,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002348_R_500_slap_13.png,37,male,white,47,male,white
G_2375_frgp13,genuine,A,13,right,00002375,00002375,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002375_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002375_R_1000_slap_13.png,42,female,african american,42,female,african american
G_2407_frgp14,genuine,A,14,left,00002407,00002407,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002407_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002407_R_1000_slap_14.png,31,male,white,31,male,white
I_00002304_00002412_frgp13,impostor,B,13,right,00002304,00002412,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002412_R_500_slap_13.png,37,male,white,27,male,other
I_00002330_00002371_frgp14,impostor,B,14,left,00002330,00002371,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002371_R_500_slap_14.png,36,male,asian,26,male,white
G_2440_frgp14,genuine,A,14,left,00002440,00002440,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002440_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002440_R_1000_slap_14.png,55,male,african american,55,male,african american
G_2332_frgp14,genuine,A,14,left,00002332,00002332,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002332_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002332_R_1000_slap_14.png,53,female,white,53,female,white
I_00002330_00002481_frgp14,impostor,B,14,left,00002330,00002481,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002481_R_500_slap_14.png,36,male,asian,34,male,white
I_00002330_00002312_frgp14,impostor,B,14,left,00002330,00002312,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002312_R_500_slap_14.png,36,male,asian,57,female,white
I_00002330_00002383_frgp14,impostor,B,14,left,00002330,00002383,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002330_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002383_R_500_slap_14.png,36,male,asian,47,female,white
G_2342_frgp13,genuine,A,13,right,00002342,00002342,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002342_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002342_R_1000_slap_13.png,47,female,white,47,female,white
G_2401_frgp14,genuine,A,14,left,00002401,00002401,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002401_R_500_slap_14.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002401_R_1000_slap_14.png,45,female,white,45,female,white
G_2326_frgp13,genuine,A,13,right,00002326,00002326,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002326_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002326_R_1000_slap_13.png,56,male,white,56,male,white
I_00002304_00002424_frgp13,impostor,B,13,right,00002304,00002424,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002304_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002424_R_500_slap_13.png,37,male,white,37,female,white
G_2313_frgp13,genuine,A,13,right,00002313,00002313,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/500/slap/png/00002313_R_500_slap_13.png,/home/bibesh/Desktop/MultiModel LLM's/dataset/sd302b/images/baseline/R/1000/slap/png/00002313_R_1000_slap_13.png,43,male,african american,43,male,african american
