source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_43210_63,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
2,G_58398_left_1287,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
3,G_56583_left_842,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
4,I_14493_83742_left_s,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
5,I_57145_65052_left_x,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
6,I_56583_93812_left_s,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
7,I_24101_57145_left_s,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
8,G_83742_left_2229,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
9,G_57833_left_1183,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
10,G_69658_left_1866,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
11,I_24101_57145_left_x,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
12,G_24101_right_301,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
13,D_56583_99,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
14,G_63029_left_1482,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
15,I_24101_87757_right_x,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
16,G_89171_left_2506,exact,A,A,explicit_option,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd
