pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,A,0,A,0.575,gemma3,task_description,2026-08-23T13:27:46
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,A,1,A,0.573,gemma3,task_description,2026-08-23T13:27:47
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,A,1,A,0.576,gemma3,task_description,2026-08-23T13:27:47
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,A,0,A,0.598,gemma3,task_description,2026-08-23T13:27:48
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,A,0,A,0.578,gemma3,task_description,2026-08-23T13:27:49
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,A,0,A,0.592,gemma3,task_description,2026-08-23T13:27:49
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,A,0,A,0.585,gemma3,task_description,2026-08-23T13:27:50
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,A,1,A,0.581,gemma3,task_description,2026-08-23T13:27:50
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,A,1,A,0.578,gemma3,task_description,2026-08-23T13:27:51
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,A,1,A,0.588,gemma3,task_description,2026-08-23T13:27:51
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,A,0,A,0.578,gemma3,task_description,2026-08-23T13:27:52
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,A,1,A,0.587,gemma3,task_description,2026-08-23T13:27:53
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,A,0,A,0.585,gemma3,task_description,2026-08-23T13:27:53
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,A,1,A,0.586,gemma3,task_description,2026-08-23T13:27:54
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,A,0,A,0.587,gemma3,task_description,2026-08-23T13:27:54
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,A,1,A,0.592,gemma3,task_description,2026-08-23T13:27:55
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,A,1,A,0.612,gemma3,task_description,2026-08-23T13:27:56
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,A,0,A,0.589,gemma3,task_description,2026-08-23T13:27:56
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,A,1,A,0.565,gemma3,task_description,2026-08-23T13:27:57
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,A,0,A,0.593,gemma3,task_description,2026-08-23T13:27:57
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,A,1,A,0.569,gemma3,task_description,2026-08-23T13:27:58
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,A,0,A,0.573,gemma3,task_description,2026-08-23T13:27:58
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,A,0,A,0.586,gemma3,task_description,2026-08-23T13:27:59
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,A,1,A,0.583,gemma3,task_description,2026-08-23T13:28:00
I_47904_58793_left_s,non-mated,primary_impostor,same,47904,58793,left,left,B,A,0,A,0.598,gemma3,task_description,2026-08-23T13:28:00
D_44595_73,non-mated,diagnostic_impostor,same,44595,44595,left,right,B,A,0,A,0.576,gemma3,task_description,2026-08-23T13:28:01
I_56583_96608_right_x,non-mated,primary_impostor,cross,56583,96608,right,right,B,A,0,A,0.583,gemma3,task_description,2026-08-23T13:28:01
D_14493_8,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,A,0,A,0.567,gemma3,task_description,2026-08-23T13:28:02
D_47904_92,non-mated,diagnostic_impostor,cross,47904,47904,left,right,B,A,0,A,0.573,gemma3,task_description,2026-08-23T13:28:03
I_32467_43210_right_s,non-mated,primary_impostor,same,32467,43210,right,right,B,A,0,A,0.598,gemma3,task_description,2026-08-23T13:28:03
G_74850_right_2037,mated,primary_genuine,cross,74850,74850,right,right,A,A,1,A,0.588,gemma3,task_description,2026-08-23T13:28:04
I_32467_65030_right_x,non-mated,primary_impostor,cross,32467,65030,right,right,B,A,0,A,0.579,gemma3,task_description,2026-08-23T13:28:04
G_20294_left_134,mated,primary_genuine,same,20294,20294,left,left,A,A,1,A,0.609,gemma3,task_description,2026-08-23T13:28:05
G_47904_right_832,mated,primary_genuine,cross,47904,47904,right,right,A,A,1,A,0.575,gemma3,task_description,2026-08-23T13:28:06
I_57145_89171_right_x,non-mated,primary_impostor,cross,57145,89171,right,right,B,A,0,A,0.582,gemma3,task_description,2026-08-23T13:28:06
G_76957_left_2098,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.598,gemma3,task_description,2026-08-23T13:28:07
I_14493_20294_right_x,non-mated,primary_impostor,cross,14493,20294,right,right,B,A,0,A,0.589,gemma3,task_description,2026-08-23T13:28:07
D_76957_225,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,A,0,A,0.595,gemma3,task_description,2026-08-23T13:28:08
G_76957_left_2119,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.561,gemma3,task_description,2026-08-23T13:28:08
D_69658_194,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,A,0,A,0.568,gemma3,task_description,2026-08-23T13:28:09
G_32467_right_505,mated,primary_genuine,same,32467,32467,right,right,A,A,1,A,0.591,gemma3,task_description,2026-08-23T13:28:10
I_47904_58793_right_s,non-mated,primary_impostor,same,47904,58793,right,right,B,A,0,A,0.591,gemma3,task_description,2026-08-23T13:28:10
G_74850_right_2026,mated,primary_genuine,same,74850,74850,right,right,A,A,1,A,0.586,gemma3,task_description,2026-08-23T13:28:11
D_89171_262,non-mated,diagnostic_impostor,cross,89171,89171,left,right,B,A,0,A,0.571,gemma3,task_description,2026-08-23T13:28:11
I_57833_89171_left_x,non-mated,primary_impostor,cross,57833,89171,left,left,B,A,0,A,0.587,gemma3,task_description,2026-08-23T13:28:12
I_74850_83742_left_s,non-mated,primary_impostor,same,74850,83742,left,left,B,A,0,A,0.595,gemma3,task_description,2026-08-23T13:28:13
I_57833_69658_right_x,non-mated,primary_impostor,cross,57833,69658,right,right,B,A,0,A,0.581,gemma3,task_description,2026-08-23T13:28:13
G_74850_left_1998,mated,primary_genuine,same,74850,74850,left,left,A,A,1,A,0.571,gemma3,task_description,2026-08-23T13:28:14
D_83742_228,non-mated,diagnostic_impostor,cross,83742,83742,left,right,B,A,0,A,0.587,gemma3,task_description,2026-08-23T13:28:14
