pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,B,B,True,1.231,claude-opus-4-8,zero_shot,2026-06-20T18:50:28
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,B,B,True,1.17,claude-opus-4-8,zero_shot,2026-06-20T18:50:29
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,B,B,True,1.726,claude-opus-4-8,zero_shot,2026-06-20T18:50:31
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,B,B,True,1.516,claude-opus-4-8,zero_shot,2026-06-20T18:50:32
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,B,B,True,1.281,claude-opus-4-8,zero_shot,2026-06-20T18:50:34
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,A,A,False,9.008,claude-opus-4-8,zero_shot,2026-06-20T18:50:43
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,B,B,True,1.169,claude-opus-4-8,zero_shot,2026-06-20T18:50:44
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,B,B,True,1.866,claude-opus-4-8,zero_shot,2026-06-20T18:50:46
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,B,B,True,1.247,claude-opus-4-8,zero_shot,2026-06-20T18:50:47
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,B,B,True,1.163,claude-opus-4-8,zero_shot,2026-06-20T18:50:48
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,B,B,True,1.656,claude-opus-4-8,zero_shot,2026-06-20T18:50:50
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,A,A,False,1.434,claude-opus-4-8,zero_shot,2026-06-20T18:50:51
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,B,B,True,1.723,claude-opus-4-8,zero_shot,2026-06-20T18:50:53
I_00002360_00002369_frgp13,impostor,13,right,00002360,00002369,B,B,B,True,1.67,claude-opus-4-8,zero_shot,2026-06-20T18:50:55
I_00002360_00002481_frgp13,impostor,13,right,00002360,00002481,B,B,B,True,1.169,claude-opus-4-8,zero_shot,2026-06-20T18:50:56
I_00002339_00002352_frgp14,impostor,14,left,00002339,00002352,B,B,B,True,1.302,claude-opus-4-8,zero_shot,2026-06-20T18:50:57
I_00002312_00002340_frgp14,impostor,14,left,00002312,00002340,B,B,B,True,1.489,claude-opus-4-8,zero_shot,2026-06-20T18:50:59
I_00002319_00002380_frgp13,impostor,13,right,00002319,00002380,B,B,B,True,1.076,claude-opus-4-8,zero_shot,2026-06-20T18:51:00
I_00002348_00002367_frgp14,impostor,14,left,00002348,00002367,B,B,B,True,1.214,claude-opus-4-8,zero_shot,2026-06-20T18:51:01
I_00002395_00002405_frgp13,impostor,13,right,00002395,00002405,B,B,B,True,1.398,claude-opus-4-8,zero_shot,2026-06-20T18:51:02
I_00002401_00002405_frgp14,impostor,14,left,00002401,00002405,B,B,B,True,1.28,claude-opus-4-8,zero_shot,2026-06-20T18:51:04
I_00002399_00002415_frgp14,impostor,14,left,00002399,00002415,B,B,B,True,1.362,claude-opus-4-8,zero_shot,2026-06-20T18:51:05
I_00002399_00002440_frgp14,impostor,14,left,00002399,00002440,B,A,A,False,1.187,claude-opus-4-8,zero_shot,2026-06-20T18:51:06
I_00002349_00002391_frgp14,impostor,14,left,00002349,00002391,B,B,B,True,1.797,claude-opus-4-8,zero_shot,2026-06-20T18:51:08
I_00002351_00002386_frgp13,impostor,13,right,00002351,00002386,B,A,A,False,1.391,claude-opus-4-8,zero_shot,2026-06-20T18:51:09
I_00002360_00002447_frgp13,impostor,13,right,00002360,00002447,B,B,B,True,1.183,claude-opus-4-8,zero_shot,2026-06-20T18:51:11
I_00002344_00002379_frgp13,impostor,13,right,00002344,00002379,B,B,B,True,1.223,claude-opus-4-8,zero_shot,2026-06-20T18:51:12
I_00002326_00002369_frgp13,impostor,13,right,00002326,00002369,B,B,B,True,1.368,claude-opus-4-8,zero_shot,2026-06-20T18:51:13
I_00002399_00002428_frgp14,impostor,14,left,00002399,00002428,B,A,A,False,2.016,claude-opus-4-8,zero_shot,2026-06-20T18:51:15
I_00002399_00002406_frgp14,impostor,14,left,00002399,00002406,B,A,A,False,1.161,claude-opus-4-8,zero_shot,2026-06-20T18:51:16
I_00002396_00002401_frgp13,impostor,13,right,00002396,00002401,B,B,B,True,1.111,claude-opus-4-8,zero_shot,2026-06-20T18:51:17
I_00002340_00002376_frgp13,impostor,13,right,00002340,00002376,B,B,B,True,1.162,claude-opus-4-8,zero_shot,2026-06-20T18:51:19
I_00002327_00002398_frgp14,impostor,14,left,00002327,00002398,B,A,A,False,1.158,claude-opus-4-8,zero_shot,2026-06-20T18:51:20
I_00002317_00002381_frgp14,impostor,14,left,00002317,00002381,B,B,B,True,1.168,claude-opus-4-8,zero_shot,2026-06-20T18:51:21
I_00002314_00002351_frgp14,impostor,14,left,00002314,00002351,B,B,B,True,1.382,claude-opus-4-8,zero_shot,2026-06-20T18:51:22
I_00002356_00002360_frgp13,impostor,13,right,00002356,00002360,B,B,B,True,1.086,claude-opus-4-8,zero_shot,2026-06-20T18:51:23
I_00002337_00002388_frgp14,impostor,14,left,00002337,00002388,B,B,B,True,1.187,claude-opus-4-8,zero_shot,2026-06-20T18:51:25
I_00002328_00002383_frgp14,impostor,14,left,00002328,00002383,B,B,B,True,1.104,claude-opus-4-8,zero_shot,2026-06-20T18:51:26
I_00002374_00002481_frgp13,impostor,13,right,00002374,00002481,B,B,B,True,1.128,claude-opus-4-8,zero_shot,2026-06-20T18:51:27
I_00002303_00002317_frgp13,impostor,13,right,00002303,00002317,B,B,B,True,1.223,claude-opus-4-8,zero_shot,2026-06-20T18:51:28
I_00002341_00002357_frgp14,impostor,14,left,00002341,00002357,B,B,B,True,1.35,claude-opus-4-8,zero_shot,2026-06-20T18:51:29
I_00002303_00002319_frgp14,impostor,14,left,00002303,00002319,B,B,B,True,1.268,claude-opus-4-8,zero_shot,2026-06-20T18:51:31
I_00002325_00002376_frgp13,impostor,13,right,00002325,00002376,B,B,B,True,1.237,claude-opus-4-8,zero_shot,2026-06-20T18:51:32
I_00002310_00002423_frgp13,impostor,13,right,00002310,00002423,B,B,B,True,1.181,claude-opus-4-8,zero_shot,2026-06-20T18:51:33
I_00002320_00002340_frgp13,impostor,13,right,00002320,00002340,B,B,B,True,1.464,claude-opus-4-8,zero_shot,2026-06-20T18:51:35
I_00002407_00002418_frgp13,impostor,13,right,00002407,00002418,B,B,B,True,1.376,claude-opus-4-8,zero_shot,2026-06-20T18:51:36
I_00002356_00002360_frgp14,impostor,14,left,00002356,00002360,B,A,A,False,1.739,claude-opus-4-8,zero_shot,2026-06-20T18:51:38
I_00002386_00002425_frgp14,impostor,14,left,00002386,00002425,B,B,B,True,1.498,claude-opus-4-8,zero_shot,2026-06-20T18:51:39
I_00002338_00002412_frgp14,impostor,14,left,00002338,00002412,B,B,B,True,1.307,claude-opus-4-8,zero_shot,2026-06-20T18:51:40
I_00002315_00002320_frgp13,impostor,13,right,00002315,00002320,B,B,B,True,1.073,claude-opus-4-8,zero_shot,2026-06-20T18:51:42
I_00002353_00002360_frgp13,impostor,13,right,00002353,00002360,B,A,A,False,1.832,claude-opus-4-8,zero_shot,2026-06-20T18:51:43
I_00002349_00002360_frgp13,impostor,13,right,00002349,00002360,B,B,B,True,1.664,claude-opus-4-8,zero_shot,2026-06-20T18:51:45
I_00002310_00002415_frgp13,impostor,13,right,00002310,00002415,B,B,B,True,1.116,claude-opus-4-8,zero_shot,2026-06-20T18:51:46
I_00002314_00002408_frgp14,impostor,14,left,00002314,00002408,B,B,B,True,1.21,claude-opus-4-8,zero_shot,2026-06-20T18:51:47
G_2303_frgp14,genuine,14,left,00002303,00002303,A,A,A,True,1.403,claude-opus-4-8,zero_shot,2026-06-20T18:51:49
I_00002356_00002373_frgp13,impostor,13,right,00002356,00002373,B,B,B,True,1.568,claude-opus-4-8,zero_shot,2026-06-20T18:51:50
I_00002317_00002358_frgp13,impostor,13,right,00002317,00002358,B,B,B,True,1.108,claude-opus-4-8,zero_shot,2026-06-20T18:51:51
I_00002369_00002447_frgp14,impostor,14,left,00002369,00002447,B,B,B,True,8.676,claude-opus-4-8,zero_shot,2026-06-20T18:52:00
I_00002334_00002386_frgp14,impostor,14,left,00002334,00002386,B,A,A,False,1.125,claude-opus-4-8,zero_shot,2026-06-20T18:52:01
I_00002401_00002455_frgp14,impostor,14,left,00002401,00002455,B,B,B,True,1.158,claude-opus-4-8,zero_shot,2026-06-20T18:52:02
I_00002360_00002462_frgp14,impostor,14,left,00002360,00002462,B,B,B,True,1.092,claude-opus-4-8,zero_shot,2026-06-20T18:52:03
I_00002326_00002418_frgp13,impostor,13,right,00002326,00002418,B,A,A,False,1.839,claude-opus-4-8,zero_shot,2026-06-20T18:52:05
I_00002412_00002428_frgp14,impostor,14,left,00002412,00002428,B,A,A,False,1.151,claude-opus-4-8,zero_shot,2026-06-20T18:52:06
I_00002329_00002447_frgp14,impostor,14,left,00002329,00002447,B,B,B,True,1.488,claude-opus-4-8,zero_shot,2026-06-20T18:52:08
I_00002364_00002373_frgp14,impostor,14,left,00002364,00002373,B,A,A,False,1.508,claude-opus-4-8,zero_shot,2026-06-20T18:52:09
I_00002358_00002423_frgp14,impostor,14,left,00002358,00002423,B,B,B,True,1.255,claude-opus-4-8,zero_shot,2026-06-20T18:52:11
I_00002325_00002455_frgp13,impostor,13,right,00002325,00002455,B,B,B,True,1.477,claude-opus-4-8,zero_shot,2026-06-20T18:52:12
I_00002314_00002321_frgp13,impostor,13,right,00002314,00002321,B,B,B,True,1.183,claude-opus-4-8,zero_shot,2026-06-20T18:52:13
I_00002367_00002405_frgp13,impostor,13,right,00002367,00002405,B,B,B,True,1.245,claude-opus-4-8,zero_shot,2026-06-20T18:52:15
I_00002306_00002348_frgp13,impostor,13,right,00002306,00002348,B,B,B,True,1.819,claude-opus-4-8,zero_shot,2026-06-20T18:52:16
I_00002374_00002379_frgp14,impostor,14,left,00002374,00002379,B,A,A,False,1.268,claude-opus-4-8,zero_shot,2026-06-20T18:52:18
I_00002342_00002359_frgp14,impostor,14,left,00002342,00002359,B,B,B,True,1.393,claude-opus-4-8,zero_shot,2026-06-20T18:52:19
I_00002303_00002403_frgp14,impostor,14,left,00002303,00002403,B,B,B,True,1.141,claude-opus-4-8,zero_shot,2026-06-20T18:52:20
I_00002303_00002307_frgp13,impostor,13,right,00002303,00002307,B,B,B,True,1.33,claude-opus-4-8,zero_shot,2026-06-20T18:52:22
I_00002307_00002313_frgp14,impostor,14,left,00002307,00002313,B,B,B,True,1.324,claude-opus-4-8,zero_shot,2026-06-20T18:52:23
