pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:00
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,0,0,0.377,qwen3vl,similarity_score,2026-08-22T21:56:01
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,0,0,0.385,qwen3vl,similarity_score,2026-08-22T21:56:01
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,95,95,0.414,qwen3vl,similarity_score,2026-08-22T21:56:01
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:56:02
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:56:02
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,65,65,0.413,qwen3vl,similarity_score,2026-08-22T21:56:03
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,65,65,0.396,qwen3vl,similarity_score,2026-08-22T21:56:03
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,95,95,0.38,qwen3vl,similarity_score,2026-08-22T21:56:03
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,65,65,0.406,qwen3vl,similarity_score,2026-08-22T21:56:04
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:04
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:56:05
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:56:05
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,65,65,0.404,qwen3vl,similarity_score,2026-08-22T21:56:05
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:06
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,65,65,0.418,qwen3vl,similarity_score,2026-08-22T21:56:06
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,65,65,0.417,qwen3vl,similarity_score,2026-08-22T21:56:07
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:56:07
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,0,0,0.363,qwen3vl,similarity_score,2026-08-22T21:56:07
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,85,85,0.42,qwen3vl,similarity_score,2026-08-22T21:56:08
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,65,65,0.389,qwen3vl,similarity_score,2026-08-22T21:56:08
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:56:09
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:56:09
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,85,85,0.404,qwen3vl,similarity_score,2026-08-22T21:56:09
I_47904_58793_left_s,non-mated,primary_impostor,same,47904,58793,left,left,B,65,65,0.415,qwen3vl,similarity_score,2026-08-22T21:56:10
D_44595_73,non-mated,diagnostic_impostor,same,44595,44595,left,right,B,65,65,0.383,qwen3vl,similarity_score,2026-08-22T21:56:10
I_56583_96608_right_x,non-mated,primary_impostor,cross,56583,96608,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:11
D_14493_8,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,65,65,0.381,qwen3vl,similarity_score,2026-08-22T21:56:11
D_47904_92,non-mated,diagnostic_impostor,cross,47904,47904,left,right,B,65,65,0.393,qwen3vl,similarity_score,2026-08-22T21:56:11
I_32467_43210_right_s,non-mated,primary_impostor,same,32467,43210,right,right,B,85,85,0.415,qwen3vl,similarity_score,2026-08-22T21:56:12
G_74850_right_2037,mated,primary_genuine,cross,74850,74850,right,right,A,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:56:12
I_32467_65030_right_x,non-mated,primary_impostor,cross,32467,65030,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:13
G_20294_left_134,mated,primary_genuine,same,20294,20294,left,left,A,65,65,0.42,qwen3vl,similarity_score,2026-08-22T21:56:13
G_47904_right_832,mated,primary_genuine,cross,47904,47904,right,right,A,65,65,0.397,qwen3vl,similarity_score,2026-08-22T21:56:13
I_57145_89171_right_x,non-mated,primary_impostor,cross,57145,89171,right,right,B,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:56:14
G_76957_left_2098,mated,primary_genuine,same,76957,76957,left,left,A,85,85,0.411,qwen3vl,similarity_score,2026-08-22T21:56:14
I_14493_20294_right_x,non-mated,primary_impostor,cross,14493,20294,right,right,B,65,65,0.406,qwen3vl,similarity_score,2026-08-22T21:56:15
D_76957_225,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:56:15
G_76957_left_2119,mated,primary_genuine,same,76957,76957,left,left,A,85,85,0.382,qwen3vl,similarity_score,2026-08-22T21:56:15
D_69658_194,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,65,65,0.39,qwen3vl,similarity_score,2026-08-22T21:56:16
G_32467_right_505,mated,primary_genuine,same,32467,32467,right,right,A,85,85,0.408,qwen3vl,similarity_score,2026-08-22T21:56:16
I_47904_58793_right_s,non-mated,primary_impostor,same,47904,58793,right,right,B,85,85,0.405,qwen3vl,similarity_score,2026-08-22T21:56:17
G_74850_right_2026,mated,primary_genuine,same,74850,74850,right,right,A,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:56:17
D_89171_262,non-mated,diagnostic_impostor,cross,89171,89171,left,right,B,65,65,0.39,qwen3vl,similarity_score,2026-08-22T21:56:17
I_57833_89171_left_x,non-mated,primary_impostor,cross,57833,89171,left,left,B,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:18
I_74850_83742_left_s,non-mated,primary_impostor,same,74850,83742,left,left,B,65,65,0.417,qwen3vl,similarity_score,2026-08-22T21:56:18
I_57833_69658_right_x,non-mated,primary_impostor,cross,57833,69658,right,right,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:19
G_74850_left_1998,mated,primary_genuine,same,74850,74850,left,left,A,95,95,0.388,qwen3vl,similarity_score,2026-08-22T21:56:19
D_83742_228,non-mated,diagnostic_impostor,cross,83742,83742,left,right,B,65,65,0.403,qwen3vl,similarity_score,2026-08-22T21:56:19
I_43210_56583_left_x,non-mated,primary_impostor,cross,43210,56583,left,left,B,65,65,0.394,qwen3vl,similarity_score,2026-08-22T21:56:20
G_43210_right_633,mated,primary_genuine,cross,43210,43210,right,right,A,65,65,0.397,qwen3vl,similarity_score,2026-08-22T21:56:20
I_58793_65030_left_s,non-mated,primary_impostor,same,58793,65030,left,left,B,85,85,0.409,qwen3vl,similarity_score,2026-08-22T21:56:21
I_57145_76957_left_s,non-mated,primary_impostor,same,57145,76957,left,left,B,85,85,0.412,qwen3vl,similarity_score,2026-08-22T21:56:21
I_14493_65030_left_x,non-mated,primary_impostor,cross,14493,65030,left,left,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:21
G_65030_right_1681,mated,primary_genuine,same,65030,65030,right,right,A,65,65,0.408,qwen3vl,similarity_score,2026-08-22T21:56:22
D_58398_142,non-mated,diagnostic_impostor,same,58398,58398,left,right,B,65,65,0.381,qwen3vl,similarity_score,2026-08-22T21:56:22
G_57833_right_1228,mated,primary_genuine,cross,57833,57833,right,right,A,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:23
I_43210_74850_left_s,non-mated,primary_impostor,same,43210,74850,left,left,B,65,65,0.415,qwen3vl,similarity_score,2026-08-22T21:56:23
D_14493_9,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,65,65,0.411,qwen3vl,similarity_score,2026-08-22T21:56:23
I_43210_83742_right_s,non-mated,primary_impostor,same,43210,83742,right,right,B,85,85,0.413,qwen3vl,similarity_score,2026-08-22T21:56:24
G_96608_left_2728,mated,primary_genuine,same,96608,96608,left,left,A,65,65,0.407,qwen3vl,similarity_score,2026-08-22T21:56:24
I_57833_96608_left_x,non-mated,primary_impostor,cross,57833,96608,left,left,B,65,65,0.404,qwen3vl,similarity_score,2026-08-22T21:56:25
I_47904_63029_right_x,non-mated,primary_impostor,cross,47904,63029,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:25
I_65052_93812_right_x,non-mated,primary_impostor,cross,65052,93812,right,right,B,65,65,0.403,qwen3vl,similarity_score,2026-08-22T21:56:25
I_44595_99775_left_s,non-mated,primary_impostor,same,44595,99775,left,left,B,65,65,0.41,qwen3vl,similarity_score,2026-08-22T21:56:26
I_24101_32467_left_x,non-mated,primary_impostor,cross,24101,32467,left,left,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:26
G_27295_right_407,mated,primary_genuine,cross,27295,27295,right,right,A,65,65,0.386,qwen3vl,similarity_score,2026-08-22T21:56:27
I_65052_83742_left_x,non-mated,primary_impostor,cross,65052,83742,left,left,B,0,0,0.383,qwen3vl,similarity_score,2026-08-22T21:56:27
I_58398_76957_left_x,non-mated,primary_impostor,cross,58398,76957,left,left,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:27
G_76957_left_2097,mated,primary_genuine,cross,76957,76957,left,left,A,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:28
I_58793_65052_left_s,non-mated,primary_impostor,same,58793,65052,left,left,B,65,65,0.414,qwen3vl,similarity_score,2026-08-22T21:56:28
G_27295_left_311,mated,primary_genuine,same,27295,27295,left,left,A,65,65,0.402,qwen3vl,similarity_score,2026-08-22T21:56:29
I_14493_57145_right_x,non-mated,primary_impostor,cross,14493,57145,right,right,B,65,65,0.405,qwen3vl,similarity_score,2026-08-22T21:56:29
G_87757_right_2459,mated,primary_genuine,cross,87757,87757,right,right,A,65,65,0.393,qwen3vl,similarity_score,2026-08-22T21:56:29
D_93812_272,non-mated,diagnostic_impostor,cross,93812,93812,left,right,B,65,65,0.395,qwen3vl,similarity_score,2026-08-22T21:56:30
G_63029_left_1497,mated,primary_genuine,cross,63029,63029,left,left,A,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:30
G_69658_right_1931,mated,primary_genuine,cross,69658,69658,right,right,A,65,65,0.388,qwen3vl,similarity_score,2026-08-22T21:56:31
I_87757_99775_left_s,non-mated,primary_impostor,same,87757,99775,left,left,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:56:31
I_93812_99775_right_s,non-mated,primary_impostor,same,93812,99775,right,right,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:56:31
I_43210_47904_right_x,non-mated,primary_impostor,cross,43210,47904,right,right,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:32
G_58398_left_1293,mated,primary_genuine,cross,58398,58398,left,left,A,65,65,0.393,qwen3vl,similarity_score,2026-08-22T21:56:32
I_14493_57145_left_x,non-mated,primary_impostor,cross,14493,57145,left,left,B,65,65,0.4,qwen3vl,similarity_score,2026-08-22T21:56:33
G_57145_right_1072,mated,primary_genuine,same,57145,57145,right,right,A,85,85,0.407,qwen3vl,similarity_score,2026-08-22T21:56:33
I_63029_96608_right_s,non-mated,primary_impostor,same,63029,96608,right,right,B,65,65,0.412,qwen3vl,similarity_score,2026-08-22T21:56:33
I_58398_69658_left_x,non-mated,primary_impostor,cross,58398,69658,left,left,B,65,65,0.399,qwen3vl,similarity_score,2026-08-22T21:56:34
G_57145_right_1080,mated,primary_genuine,cross,57145,57145,right,right,A,65,65,0.394,qwen3vl,similarity_score,2026-08-22T21:56:34
I_58793_65030_left_x,non-mated,primary_impostor,cross,58793,65030,left,left,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:35
I_57833_89171_right_x,non-mated,primary_impostor,cross,57833,89171,right,right,B,65,65,0.398,qwen3vl,similarity_score,2026-08-22T21:56:35
I_14493_32467_left_x,non-mated,primary_impostor,cross,14493,32467,left,left,B,65,65,0.401,qwen3vl,similarity_score,2026-08-22T21:56:35
