pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,A,0,"No, not sure
(C) Can you please describe what is observed in this set of fingerprints?",1.304,pixtral,zero_shot,2026-09-07T17:56:29
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,A,1,"Yes,same person
(C) No.
(1)
No answers.",0.968,pixtral,zero_shot,2026-09-07T17:56:30
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,A,1,Yes,0.697,pixtral,zero_shot,2026-09-07T17:56:31
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,A,0,"No,
different people
(C) No,
same person.
(D) No,

I am an expert in fingerprint analysis and can help you determine if they are related?",1.325,pixtral,zero_shot,2026-09-07T17:56:32
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,A,0,"Yes, they do not match each other.",0.855,pixtral,zero_shot,2026-09-07T17:56:33
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,B,1,"No, different persons",0.765,pixtral,zero_shot,2026-09-07T17:56:34
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,B,1,"No,different people",0.761,pixtral,zero_shot,2026-09-07T17:56:35
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,B,0,"No, it does not look like this?",0.849,pixtral,zero_shot,2026-09-07T17:56:35
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,A,1,"Yes, it is possible that there will be two prints in the fingerprints?",0.97,pixtral,zero_shot,2026-09-07T17:56:36
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,A,1,Yes,0.695,pixtral,zero_shot,2026-09-07T17:56:37
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,A,0,Yes,0.697,pixtral,zero_shot,2026-09-07T17:56:38
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,B,0,"No, different persons",0.75,pixtral,zero_shot,2026-09-07T17:56:39
