pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_121_111,non-mated,diagnostic_impostor,na,121,121,13,14,B,A,0,A,0.246,internvl3,task_description,2026-09-05T19:03:38
I_044_232_13,non-mated,primary_impostor,na,044,232,13,13,B,A,0,A,0.242,internvl3,task_description,2026-09-05T19:03:38
I_067_932_13,non-mated,primary_impostor,na,067,932,13,13,B,A,0,A,0.242,internvl3,task_description,2026-09-05T19:03:39
I_169_222_13,non-mated,primary_impostor,na,169,222,13,13,B,A,0,A,0.244,internvl3,task_description,2026-09-05T19:03:39
I_051_174_13,non-mated,primary_impostor,na,051,174,13,13,B,A,0,A,0.244,internvl3,task_description,2026-09-05T19:03:39
D_041_36,non-mated,diagnostic_impostor,na,041,041,13,14,B,A,0,A,0.246,internvl3,task_description,2026-09-05T19:03:39
G_200_13_11863,mated,primary_genuine,na,200,200,13,13,A,A,1,A,0.241,internvl3,task_description,2026-09-05T19:03:40
I_049_269_13,non-mated,primary_impostor,na,049,269,13,13,B,A,0,A,0.244,internvl3,task_description,2026-09-05T19:03:40
G_256_14_13142,mated,primary_genuine,na,256,256,14,14,A,A,1,A,0.246,internvl3,task_description,2026-09-05T19:03:40
G_159_14_10898,mated,primary_genuine,na,159,159,14,14,A,A,1,A,0.24,internvl3,task_description,2026-09-05T19:03:40
G_202_14_11903,mated,primary_genuine,na,202,202,14,14,A,A,1,A,0.243,internvl3,task_description,2026-09-05T19:03:41
D_46_259,non-mated,diagnostic_impostor,na,46,46,13,14,B,A,0,A,0.241,internvl3,task_description,2026-09-05T19:03:41
G_112_14_9805,mated,primary_genuine,na,112,112,14,14,A,A,1,A,0.243,internvl3,task_description,2026-09-05T19:03:41
G_192_13_11674,mated,primary_genuine,na,192,192,13,13,A,A,1,A,0.241,internvl3,task_description,2026-09-05T19:03:41
I_009_216_13,non-mated,primary_impostor,na,009,216,13,13,B,A,0,A,0.243,internvl3,task_description,2026-09-05T19:03:42
D_155_135,non-mated,diagnostic_impostor,na,155,155,13,14,B,A,0,A,0.245,internvl3,task_description,2026-09-05T19:03:42
I_31_911_14,non-mated,primary_impostor,na,31,911,14,14,B,A,0,A,0.239,internvl3,task_description,2026-09-05T19:03:42
I_233_293_14,non-mated,primary_impostor,na,233,293,14,14,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:42
I_57_71_13,non-mated,primary_impostor,na,57,71,13,13,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:43
G_048_14_3830,mated,primary_genuine,na,048,048,14,14,A,A,1,A,0.245,internvl3,task_description,2026-09-05T19:03:43
D_191_165,non-mated,diagnostic_impostor,na,191,191,13,14,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:43
G_182_14_11428,mated,primary_genuine,na,182,182,14,14,A,A,1,A,0.241,internvl3,task_description,2026-09-05T19:03:43
G_009_13_633,mated,primary_genuine,na,009,009,13,13,A,A,1,A,0.245,internvl3,task_description,2026-09-05T19:03:44
I_83_908_13,non-mated,primary_impostor,na,83,908,13,13,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:44
I_010_173_13,non-mated,primary_impostor,na,010,173,13,13,B,A,0,A,0.243,internvl3,task_description,2026-09-05T19:03:44
D_004_2,non-mated,diagnostic_impostor,na,004,004,13,14,B,A,0,A,0.246,internvl3,task_description,2026-09-05T19:03:44
G_212_13_12077,mated,primary_genuine,na,212,212,13,13,A,A,1,A,0.243,internvl3,task_description,2026-09-05T19:03:44
G_270_14_13504,mated,primary_genuine,na,270,270,14,14,A,A,1,A,0.239,internvl3,task_description,2026-09-05T19:03:45
G_42_13_14322,mated,primary_genuine,na,42,42,13,13,A,A,1,A,0.241,internvl3,task_description,2026-09-05T19:03:45
D_128_117,non-mated,diagnostic_impostor,na,128,128,13,14,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:45
G_934_14_16443,mated,primary_genuine,na,934,934,14,14,A,A,1,A,0.241,internvl3,task_description,2026-09-05T19:03:45
I_059_900_13,non-mated,primary_impostor,na,059,900,13,13,B,A,0,A,0.242,internvl3,task_description,2026-09-05T19:03:46
I_31_82_14,non-mated,primary_impostor,na,31,82,14,14,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:46
I_034_181_14,non-mated,primary_impostor,na,034,181,14,14,B,A,0,A,0.245,internvl3,task_description,2026-09-05T19:03:46
G_033_13_2634,mated,primary_genuine,na,033,033,13,13,A,A,1,A,0.245,internvl3,task_description,2026-09-05T19:03:46
I_136_263_13,non-mated,primary_impostor,na,136,263,13,13,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:47
G_160_13_10911,mated,primary_genuine,na,160,160,13,13,A,A,1,A,0.242,internvl3,task_description,2026-09-05T19:03:47
G_12_13_10249,mated,primary_genuine,na,12,12,13,13,A,A,1,A,0.24,internvl3,task_description,2026-09-05T19:03:47
I_006_044_14,non-mated,primary_impostor,na,006,044,14,14,B,A,0,A,0.25,internvl3,task_description,2026-09-05T19:03:47
D_218_186,non-mated,diagnostic_impostor,na,218,218,13,14,B,A,0,A,0.242,internvl3,task_description,2026-09-05T19:03:48
D_39_252,non-mated,diagnostic_impostor,na,39,39,13,14,B,A,0,A,0.241,internvl3,task_description,2026-09-05T19:03:48
I_229_916_13,non-mated,primary_impostor,na,229,916,13,13,B,A,0,A,0.24,internvl3,task_description,2026-09-05T19:03:48
G_049_14_3960,mated,primary_genuine,na,049,049,14,14,A,A,1,A,0.252,internvl3,task_description,2026-09-05T19:03:48
D_918_310,non-mated,diagnostic_impostor,na,918,918,13,14,B,A,0,A,0.249,internvl3,task_description,2026-09-05T19:03:49
G_43_13_14353,mated,primary_genuine,na,43,43,13,13,A,A,1,A,0.247,internvl3,task_description,2026-09-05T19:03:49
G_923_13_16063,mated,primary_genuine,na,923,923,13,13,A,A,1,A,0.248,internvl3,task_description,2026-09-05T19:03:49
G_127_14_10171,mated,primary_genuine,na,127,127,14,14,A,A,1,A,0.251,internvl3,task_description,2026-09-05T19:03:49
D_051_45,non-mated,diagnostic_impostor,na,051,051,13,14,B,A,0,A,0.256,internvl3,task_description,2026-09-05T19:03:50
G_197_14_11779,mated,primary_genuine,na,197,197,14,14,A,A,1,A,0.249,internvl3,task_description,2026-09-05T19:03:50
