pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,A,A,False,0.491,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:00
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,A,A,False,0.259,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:00
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,A,A,False,0.255,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:00
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,A,A,False,0.256,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:01
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,A,A,False,0.252,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:01
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,A,A,False,0.254,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:01
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,A,A,False,0.253,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:02
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,A,A,False,0.253,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:02
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,A,A,False,0.254,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:02
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,A,A,False,0.253,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:02
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,A,A,False,0.252,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:03
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,A,A,False,0.253,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:03
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,A,A,False,0.254,InternVL3-8B-Instruct,task_description,2026-06-14T14:23:03
