source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_121_111,exact,B,,unrecognized_review,d22ce0aeb914715b5a034692b5c4a352057077e6ce2554c23b76401561d4c9da
2,I_044_232_13,exact,B,,unrecognized_review,ce75b71a67ce9b0b427abb7bd88aad2275034d3c8480e69c9185909b99ab742d
3,I_067_932_13,exact,A,,uncertainty_or_refusal_review,c844238bf591a2730fb240e951ed3f3e246b5b792f6f04dc90cae632821483d5
4,I_169_222_13,exact,A,,uncertainty_or_refusal_review,aee19e8332fad0f8e962cb01e16ba7d19e95b5330202c53e608086d91288fb37
5,I_051_174_13,exact,A,,unrecognized_review,155d8132e1f843f32df157c763600e3c42a96201a00926ee505483c95ef95048
6,D_041_36,exact,A,,unrecognized_review,e4337348cf92366c1901538576bc579ec2801a1d5d214f31f56b81c7ece61a45
7,G_200_13_11863,exact,A,,uncertainty_or_refusal_review,5a1f11975538710b0e08705ca31b4160414e81090f6ead07f4ed2c042340179f
8,I_049_269_13,exact,A,,unrecognized_review,3c2a35361c30e42099793dc1e66d903285c3c76efabbaf4dd2917292f35a3259
9,G_256_14_13142,exact,A,,unrecognized_review,b02fcd7bc1807a71b88bfb90bf3892e18e05646e1e171e6a4a86072b975eab5e
10,G_159_14_10898,exact,A,,unrecognized_review,af50e87ee26820cbe13d7630ffcfe42cb8e33adc5c89bd1714c3169e9ab94bd8
11,G_202_14_11903,exact,A,,contradictory_review,c2e502c8b283ac4880dd8dda72440c6b2487a43e9b74192009551f592db57a86
12,D_46_259,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
13,G_112_14_9805,exact,A,,uncertainty_or_refusal_review,0b7146d13dec711c2db940417cd5d2191e223a3036dbfa7845837ebffd62d519
14,G_192_13_11674,exact,B,,unrecognized_review,c6169ff61c29a87ad233e625a914616ec39fe2d53018490cb9dd51bb7fe152c3
15,I_009_216_13,exact,A,,uncertainty_or_refusal_review,525a0f23b02929a89dd8b0f4790eb962584fa5aa609267757959588da61f511d
16,D_155_135,exact,B,,unrecognized_review,e7e43abf4bf198d654caf8abd6d6d006b164cabaae852a508f6b20465c54cf23
17,I_31_911_14,exact,A,A,explicit_text,85a39ab345d672ff8ca9b9c6876f3adcacf45ee7c1e2dbd2408fd338bd55e07e
18,I_233_293_14,exact,B,,unrecognized_review,e6692f1196adef935e9c6c066bd326bdc9cb8e335facba3d2a353e3481a01d3e
19,I_57_71_13,exact,B,B,explicit_text,70307be4b69e7a70d88c458081673e449d4707f68a13bbecbb8ebe60afbbf9f1
20,G_048_14_3830,exact,A,,unrecognized_review,ec675c4287d6734716543a47d3f7e242e67f5dbf712d8b077c111519954beed5
21,D_191_165,exact,A,,uncertainty_or_refusal_review,bfe52b5858b6581f5373cdc6b5e69c48b330f2f1bc09b45322c64aea1bb15a34
22,G_182_14_11428,exact,INVALID,,unrecognized_review,45ee952ef56baf8a5b97b48e3784f04b9b166e1ab3a10ca5521e9a55a0f25b25
23,G_009_13_633,exact,A,,unrecognized_review,3d8e5caa2a90801f2d8f9b86432760748147f0c10ea912b4a6eaefd5bbdd039b
24,I_83_908_13,exact,A,,unrecognized_review,0e5e0abcc67651c00df3df90b3898ab055164ac999dbb0ecc951c4695658c01c
25,I_010_173_13,exact,B,,unrecognized_review,b7dda7ebe58ff0a63adc35ee0dc7f2bc5a1ae6c7616e62341e22d7da8cf73298
26,D_004_2,exact,A,,unrecognized_review,a6fe53a9b70916ec7a4826d845063c04c93c51f0aff96ca66ca1a6c3e86b35f2
27,G_212_13_12077,exact,A,,contradictory_review,92e5619d370abe87c9efb10db82496c6dc7eb4a7b2f56e21965b41eebdc55130
28,G_270_14_13504,exact,A,,unrecognized_review,367e6ec958c2dd54730a06797b91019cd1d9736b69433e23397b3cf77833e4ef
