source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,D_121_111,exact,A,,contradictory_review,44bed5cbc5ad31f83baf4e379ba7acb435dc57dda14aff86af07cf7eac8ec9c6
2,I_044_232_13,exact,A,,uncertainty_or_refusal_review,db6c0670a03511e9ff5c844527a6fb4eeb6ed6644da4c8a1fb3c1b9405d92946
3,I_067_932_13,exact,B,,contradictory_review,3c2166ca02be59642b3a080e7f3ada9c1085e0fde175422ce1831573525e9372
4,I_169_222_13,exact,A,,unrecognized_review,05041ff99acc8397d7077c86bb5f5e168595ce1b3ab05dfd8977e9774248197a
5,I_051_174_13,exact,A,,uncertainty_or_refusal_review,a9eda3283de7bba3867bd499fc4a79549d88cd9fde64a614623ed6c5c1ae7206
6,D_041_36,exact,A,,contradictory_review,5d2e3ea477708480e614c5441d161939e56ce5eaabf4906f2c49ff3d62fbb3ee
7,G_200_13_11863,exact,A,,unrecognized_review,dc324b6a4a205dabae2d5a9226bce746509785a0efbb07889b5595335702cebd
8,I_049_269_13,exact,A,,contradictory_review,dcffb97ab5acaa1d81d31dab2ae698020f82841fcea0119f6295eaf6e0e13285
9,G_256_14_13142,exact,A,,contradictory_review,1b6f8e738adfccbcf5259cbda7f97429d6a9f851861a0729134756b47fa5899f
10,G_159_14_10898,exact,A,,unrecognized_review,d828eb46d389a5d775653a01f6e562d4e1ce883450632c750ebe497ba8873810
11,G_202_14_11903,exact,A,,contradictory_review,2587bbf75c2f1522c98c4ba9c54d821e33bf18129ed60a2391f3d0572d21ed8a
12,D_46_259,exact,A,,contradictory_review,47a90497894af0284b6cff3c5d69c806e9bc85bbe1f5a9d2334fb58179b6712e
13,G_112_14_9805,exact,A,,unrecognized_review,a8dcf61d37f50c6ade7daba425f77c941804372b619f186e0266ae3f3684a812
14,G_192_13_11674,exact,INVALID,,unrecognized_review,192af065e096bb4bfe44608d6874590f9613e91f042ded152b779a98f8431073
15,I_009_216_13,exact,A,,uncertainty_or_refusal_review,14525fc17d61203d4123356205306d78143134cc5288d73e36fe96b011e951be
16,D_155_135,exact,B,,unrecognized_review,5c8d947d8a0ee9dc6b9a2abf5655f675baa6a80131ccd3a0ba6860d9b1cc8dca
17,I_31_911_14,exact,A,,contradictory_review,de92a837d68292387717be91582a7a88a133bae889c18eca455e7bf63e5559e4
18,I_233_293_14,exact,INVALID,,unrecognized_review,45ee952ef56baf8a5b97b48e3784f04b9b166e1ab3a10ca5521e9a55a0f25b25
19,I_57_71_13,exact,A,,contradictory_review,99a9a7f92482f0814f2a94d24af18d4f0d02a736c0e13faf5413b5451319d424
20,G_048_14_3830,exact,A,,unrecognized_review,5553bcd16dbd48b421a5d19ee457e5459ac3303ee448b5aee06f9202a4c609d4
21,D_191_165,exact,A,,contradictory_review,64bd4e17fc6f6809849a1440c0dea10a4b8a53c78eb8406f48fe4b95b854ad0b
22,G_182_14_11428,exact,INVALID,,unrecognized_review,fd0ad9026eee596b7072a762941f60bef57e760a230edd450b3a634825685c2a
23,G_009_13_633,exact,B,,unrecognized_review,f429c125d306e49e8e4005f5978c6b2f4197febdd8a4b3159062b3d33529f831
24,I_83_908_13,exact,A,,unrecognized_review,14ddfac745bc0ec37bcde10174ad5ec015ada001d6d408ca44d408e4c4ab80bd
25,I_010_173_13,exact,A,,contradictory_review,9ffdcaf746032d3c772e929db0b0175de6fef839c941173729b2a8f484052246
26,D_004_2,exact,A,,unrecognized_review,1648e21ab2def1e41988cccf9d96164904755de85cf3d7cc3f7d7fc31e847a58
27,G_212_13_12077,exact,A,,unrecognized_review,e53b7ac371599af27dad246ada8898f6d6edd4683396b6798b32b14962729214
28,G_270_14_13504,exact,A,,unrecognized_review,51825e97cdfd106715d6b2c6e6d9cae76c15d0414aa704aa33d8687110636c5a
29,G_42_13_14322,exact,A,,contradictory_review,ec21d5f70eace43d72c0375b739de60f1f77191267ac3e2b4dc4d22e5c7e2d66
30,D_128_117,exact,A,,unrecognized_review,ab6bfdb8c9203fea29da790482288df49860a38d8b6a485430978626c8a9c7fc
31,G_934_14_16443,exact,INVALID,,unrecognized_review,32ebb1abcc1c601ceb9c4e3c4faba0caa5b85bb98c4f1e6612c40faa528a91c9
32,I_059_900_13,exact,INVALID,,unrecognized_review,fd0ad9026eee596b7072a762941f60bef57e760a230edd450b3a634825685c2a
33,I_31_82_14,exact,A,,unrecognized_review,85569b89279cd2f646bc183a176c3ede3c53955927cda64ac57383315828248a
34,I_034_181_14,exact,INVALID,,unrecognized_review,896d4c393fdd406af0e2379df1872533ec2c4c4620e156ba6d7ce1d1bb65a6c8
35,G_033_13_2634,exact,A,,contradictory_review,846062e45662296469f38b6153112b16a1121e736603b24d7633b87afab3e2d7
36,I_136_263_13,exact,B,,unrecognized_review,2877b252d8118899c9d7a26a4b6559b26475d5d88e2803f57b072f138a01a178
37,G_160_13_10911,exact,A,,contradictory_review,79923a9398849628128f22e9ce56a0034cc88a4b4ab0254932e3302558cc818f
38,G_12_13_10249,exact,INVALID,,unrecognized_review,158a842a72e31dd6fa130276f5d4e7b5a1815bc511b37915709f4105eae2fad2
39,I_006_044_14,exact,A,,uncertainty_or_refusal_review,9bdfdf5208472b167a587e5433fc586f19f8ad2289160fe7aaf232d5d26455c7
40,D_218_186,exact,A,,contradictory_review,98adb8341c1249e86b49d65d3a8f153658c04ba527978bde20ea002798a79999
41,D_39_252,exact,INVALID,,unrecognized_review,32ebb1abcc1c601ceb9c4e3c4faba0caa5b85bb98c4f1e6612c40faa528a91c9
42,I_229_916_13,exact,B,B,explicit_text,b1c9eb7c37e675fc517b6505924533cdce16186b5f0e203bf8eff78af200a1f9
43,G_049_14_3960,exact,A,,unrecognized_review,02f00e683f6bb87f1d379589afa1e0171a719ed70088b9b408f44e7c9129d332
44,D_918_310,exact,B,,unrecognized_review,bf52c0208aaad1d7796e429556fff7026f9afd6f5fd17bfd4f16819af2e3a522
45,G_43_13_14353,exact,INVALID,,unrecognized_review,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f
46,G_923_13_16063,exact,INVALID,,unrecognized_review,45ee952ef56baf8a5b97b48e3784f04b9b166e1ab3a10ca5521e9a55a0f25b25
47,G_127_14_10171,exact,A,,contradictory_review,ce46766f1346a471a8c6031192d0985dbf5a24676db69a08b5c2220b830fc2e3
48,D_051_45,exact,A,,unrecognized_review,ad9218cf2bd28e3e1fb5c50e7d8c0298dcbe35080533e44432bd196772f2d7da
49,G_197_14_11779,exact,A,,uncertainty_or_refusal_review,b4964054d8c78d5ad0d1b6e8ec915725bbeda9f42c6bcebb14e8391599637ca2
50,G_018_14_1489,exact,A,,unrecognized_review,2c6e65fe1f18557d23d520c8733000b23a301bb09876c1b26aedec6628126fea
51,I_049_901_14,exact,INVALID,,unrecognized_review,b708879163e27043e95ad405bbc04c89ff8ebaf1ceebd375ff6807ed23f44a47
52,I_36_67_13,exact,B,,unrecognized_review,c798c0b742233ba56d1be217f57538e36d09e0e7e67a550a212abe28b341414a
53,I_146_194_13,exact,A,,uncertainty_or_refusal_review,90d8bed9897e546adbea7bbae111ec710471acb4f6e2b88d524c88447e0510dc
54,D_279_230,exact,A,,contradictory_review,27973137a31965f55ed09f3a20d426402e551ef809cb241e934f4df3e816d334
55,I_013_919_13,exact,A,,contradictory_review,e9128b78fcf28962665b8fcde1ab105920f08b3e8b94fd8a84afb6794d695113
56,D_094_86,exact,A,,unrecognized_review,3bf78dc9309b322655cd9df174591d4d444320dfab0645088797da72222458b7
57,D_158_138,exact,B,,unrecognized_review,5c7f2a1acdd7ca8ed7c72b797a85a5e9ac048fd75bf7608c03e8bfe422654984
58,I_057_909_14,exact,INVALID,,unrecognized_review,fd0ad9026eee596b7072a762941f60bef57e760a230edd450b3a634825685c2a
59,D_099_90,exact,INVALID,,unrecognized_review,fd0ad9026eee596b7072a762941f60bef57e760a230edd450b3a634825685c2a
60,G_125_13_10127,exact,A,,contradictory_review,7972be4c6fdeef9fd40bfeb58d37411db534fb2adede92748a32e5cf0255490a
61,I_048_22_13,exact,INVALID,,unrecognized_review,ab0531c9d89473e8c5af60d4621a5d5bfaa6a5b1f1ebf3cc69e20814fee801cc
62,G_156_13_10789,exact,A,,unrecognized_review,3e751753762d90d8da256c5a155b29fac8f1b3ba35889fdad8150db18a2b1ef8
63,I_42_939_14,exact,A,,uncertainty_or_refusal_review,c8f02d2609126691a0a368938fa6d0d93ff8cb1d3a1a6816de79445ca261b5e6
64,I_164_279_14,exact,A,,contradictory_review,eb08b5c4af5bfe8eb4c391757a770004b7dd5c452c5fdc427f99c23572714d11
65,I_007_253_13,exact,A,,unrecognized_review,a3dc87d869c7b8942695fa1760179076307a240924b6682e4236673109f0f232
66,I_902_919_14,exact,A,,contradictory_review,44bd523a67815778dc8a2cf8c06b700998538830af6d3f31296eb3b144c2810f
67,I_100_189_13,exact,A,,contradictory_review,2f31da42ea7c532cc071745a2e29aa06b482334a24c1976095f291f0e119fc2f
68,G_122_13_10044,exact,A,,contradictory_review,b49a3906547856fbf1fd33db854c3e2d53b1ea5b6e5555bae8000db42400f550
69,I_024_130_13,exact,A,,contradictory_review,53086c39a2cac4abda1a9a9d6c6a5e457de0aa4345b7819bbcad36313250ca5e
