pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,llm_answer,correct,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,A,0,A,0.514,internvl3,zero_shot,2026-08-23T14:06:22
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,B,0,B,0.355,internvl3,zero_shot,2026-08-23T14:06:22
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,B,0,B,0.356,internvl3,zero_shot,2026-08-23T14:06:22
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,A,0,A,0.366,internvl3,zero_shot,2026-08-23T14:06:23
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,B,1,B,0.355,internvl3,zero_shot,2026-08-23T14:06:23
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,A,0,A,0.367,internvl3,zero_shot,2026-08-23T14:06:23
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,B,1,B,0.36,internvl3,zero_shot,2026-08-23T14:06:24
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,B,0,B,0.344,internvl3,zero_shot,2026-08-23T14:06:24
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,A,1,A,0.348,internvl3,zero_shot,2026-08-23T14:06:25
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,B,0,B,0.361,internvl3,zero_shot,2026-08-23T14:06:25
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,B,1,B,0.358,internvl3,zero_shot,2026-08-23T14:06:25
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,B,0,B,0.362,internvl3,zero_shot,2026-08-23T14:06:26
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,A,0,A,0.36,internvl3,zero_shot,2026-08-23T14:06:26
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,B,0,B,0.353,internvl3,zero_shot,2026-08-23T14:06:26
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,A,0,A,0.356,internvl3,zero_shot,2026-08-23T14:06:27
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,B,0,B,0.375,internvl3,zero_shot,2026-08-23T14:06:27
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,B,0,B,0.376,internvl3,zero_shot,2026-08-23T14:06:27
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,B,1,B,0.36,internvl3,zero_shot,2026-08-23T14:06:28
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,A,1,A,0.341,internvl3,zero_shot,2026-08-23T14:06:28
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,B,1,B,0.369,internvl3,zero_shot,2026-08-23T14:06:29
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,B,0,B,0.345,internvl3,zero_shot,2026-08-23T14:06:29
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,B,1,B,0.355,internvl3,zero_shot,2026-08-23T14:06:29
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,B,1,B,0.369,internvl3,zero_shot,2026-08-23T14:06:30
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,A,1,A,0.361,internvl3,zero_shot,2026-08-23T14:06:30
I_47904_58793_left_s,non-mated,primary_impostor,same,47904,58793,left,left,B,B,1,B,0.366,internvl3,zero_shot,2026-08-23T14:06:30
D_44595_73,non-mated,diagnostic_impostor,same,44595,44595,left,right,B,A,0,A,0.339,internvl3,zero_shot,2026-08-23T14:06:31
I_56583_96608_right_x,non-mated,primary_impostor,cross,56583,96608,right,right,B,B,1,B,0.363,internvl3,zero_shot,2026-08-23T14:06:31
D_14493_8,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,B,1,B,0.361,internvl3,zero_shot,2026-08-23T14:06:31
D_47904_92,non-mated,diagnostic_impostor,cross,47904,47904,left,right,B,A,0,A,0.356,internvl3,zero_shot,2026-08-23T14:06:32
I_32467_43210_right_s,non-mated,primary_impostor,same,32467,43210,right,right,B,A,0,A,0.368,internvl3,zero_shot,2026-08-23T14:06:32
G_74850_right_2037,mated,primary_genuine,cross,74850,74850,right,right,A,B,0,B,0.361,internvl3,zero_shot,2026-08-23T14:06:32
I_32467_65030_right_x,non-mated,primary_impostor,cross,32467,65030,right,right,B,B,1,B,0.359,internvl3,zero_shot,2026-08-23T14:06:33
G_20294_left_134,mated,primary_genuine,same,20294,20294,left,left,A,B,0,B,0.376,internvl3,zero_shot,2026-08-23T14:06:33
G_47904_right_832,mated,primary_genuine,cross,47904,47904,right,right,A,B,0,B,0.356,internvl3,zero_shot,2026-08-23T14:06:34
I_57145_89171_right_x,non-mated,primary_impostor,cross,57145,89171,right,right,B,A,0,A,0.367,internvl3,zero_shot,2026-08-23T14:06:34
G_76957_left_2098,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.369,internvl3,zero_shot,2026-08-23T14:06:34
I_14493_20294_right_x,non-mated,primary_impostor,cross,14493,20294,right,right,B,A,0,A,0.372,internvl3,zero_shot,2026-08-23T14:06:35
D_76957_225,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,A,0,A,0.366,internvl3,zero_shot,2026-08-23T14:06:35
G_76957_left_2119,mated,primary_genuine,same,76957,76957,left,left,A,A,1,A,0.359,internvl3,zero_shot,2026-08-23T14:06:35
D_69658_194,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,A,0,A,0.366,internvl3,zero_shot,2026-08-23T14:06:36
G_32467_right_505,mated,primary_genuine,same,32467,32467,right,right,A,A,1,A,0.365,internvl3,zero_shot,2026-08-23T14:06:36
I_47904_58793_right_s,non-mated,primary_impostor,same,47904,58793,right,right,B,A,0,A,0.353,internvl3,zero_shot,2026-08-23T14:06:36
G_74850_right_2026,mated,primary_genuine,same,74850,74850,right,right,A,B,0,B,0.353,internvl3,zero_shot,2026-08-23T14:06:37
D_89171_262,non-mated,diagnostic_impostor,cross,89171,89171,left,right,B,A,0,A,0.344,internvl3,zero_shot,2026-08-23T14:06:37
I_57833_89171_left_x,non-mated,primary_impostor,cross,57833,89171,left,left,B,B,1,B,0.36,internvl3,zero_shot,2026-08-23T14:06:38
I_74850_83742_left_s,non-mated,primary_impostor,same,74850,83742,left,left,B,A,0,A,0.379,internvl3,zero_shot,2026-08-23T14:06:38
I_57833_69658_right_x,non-mated,primary_impostor,cross,57833,69658,right,right,B,B,1,B,0.353,internvl3,zero_shot,2026-08-23T14:06:38
G_74850_left_1998,mated,primary_genuine,same,74850,74850,left,left,A,A,1,A,0.362,internvl3,zero_shot,2026-08-23T14:06:39
D_83742_228,non-mated,diagnostic_impostor,cross,83742,83742,left,right,B,B,1,B,0.373,internvl3,zero_shot,2026-08-23T14:06:39
I_43210_56583_left_x,non-mated,primary_impostor,cross,43210,56583,left,left,B,B,1,B,0.348,internvl3,zero_shot,2026-08-23T14:06:39
G_43210_right_633,mated,primary_genuine,cross,43210,43210,right,right,A,A,1,A,0.356,internvl3,zero_shot,2026-08-23T14:06:40
I_58793_65030_left_s,non-mated,primary_impostor,same,58793,65030,left,left,B,A,0,A,0.361,internvl3,zero_shot,2026-08-23T14:06:40
I_57145_76957_left_s,non-mated,primary_impostor,same,57145,76957,left,left,B,A,0,A,0.359,internvl3,zero_shot,2026-08-23T14:06:40
I_14493_65030_left_x,non-mated,primary_impostor,cross,14493,65030,left,left,B,A,0,A,0.351,internvl3,zero_shot,2026-08-23T14:06:41
G_65030_right_1681,mated,primary_genuine,same,65030,65030,right,right,A,A,1,A,0.362,internvl3,zero_shot,2026-08-23T14:06:41
D_58398_142,non-mated,diagnostic_impostor,same,58398,58398,left,right,B,A,0,A,0.35,internvl3,zero_shot,2026-08-23T14:06:41
G_57833_right_1228,mated,primary_genuine,cross,57833,57833,right,right,A,B,0,B,0.366,internvl3,zero_shot,2026-08-23T14:06:42
I_43210_74850_left_s,non-mated,primary_impostor,same,43210,74850,left,left,B,A,0,A,0.369,internvl3,zero_shot,2026-08-23T14:06:42
D_14493_9,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,A,0,A,0.356,internvl3,zero_shot,2026-08-23T14:06:43
I_43210_83742_right_s,non-mated,primary_impostor,same,43210,83742,right,right,B,A,0,A,0.359,internvl3,zero_shot,2026-08-23T14:06:43
G_96608_left_2728,mated,primary_genuine,same,96608,96608,left,left,A,B,0,B,0.357,internvl3,zero_shot,2026-08-23T14:06:43
I_57833_96608_left_x,non-mated,primary_impostor,cross,57833,96608,left,left,B,B,1,B,0.367,internvl3,zero_shot,2026-08-23T14:06:44
I_47904_63029_right_x,non-mated,primary_impostor,cross,47904,63029,right,right,B,B,1,B,0.362,internvl3,zero_shot,2026-08-23T14:06:44
I_65052_93812_right_x,non-mated,primary_impostor,cross,65052,93812,right,right,B,B,1,B,0.366,internvl3,zero_shot,2026-08-23T14:06:44
I_44595_99775_left_s,non-mated,primary_impostor,same,44595,99775,left,left,B,A,0,A,0.368,internvl3,zero_shot,2026-08-23T14:06:45
I_24101_32467_left_x,non-mated,primary_impostor,cross,24101,32467,left,left,B,B,1,B,0.361,internvl3,zero_shot,2026-08-23T14:06:45
G_27295_right_407,mated,primary_genuine,cross,27295,27295,right,right,A,A,1,A,0.357,internvl3,zero_shot,2026-08-23T14:06:45
I_65052_83742_left_x,non-mated,primary_impostor,cross,65052,83742,left,left,B,B,1,B,0.377,internvl3,zero_shot,2026-08-23T14:06:46
I_58398_76957_left_x,non-mated,primary_impostor,cross,58398,76957,left,left,B,B,1,B,0.36,internvl3,zero_shot,2026-08-23T14:06:46
G_76957_left_2097,mated,primary_genuine,cross,76957,76957,left,left,A,B,0,B,0.354,internvl3,zero_shot,2026-08-23T14:06:47
I_58793_65052_left_s,non-mated,primary_impostor,same,58793,65052,left,left,B,A,0,A,0.373,internvl3,zero_shot,2026-08-23T14:06:47
G_27295_left_311,mated,primary_genuine,same,27295,27295,left,left,A,B,0,B,0.355,internvl3,zero_shot,2026-08-23T14:06:47
I_14493_57145_right_x,non-mated,primary_impostor,cross,14493,57145,right,right,B,A,0,A,0.357,internvl3,zero_shot,2026-08-23T14:06:48
G_87757_right_2459,mated,primary_genuine,cross,87757,87757,right,right,A,B,0,B,0.354,internvl3,zero_shot,2026-08-23T14:06:48
D_93812_272,non-mated,diagnostic_impostor,cross,93812,93812,left,right,B,B,1,B,0.356,internvl3,zero_shot,2026-08-23T14:06:48
G_63029_left_1497,mated,primary_genuine,cross,63029,63029,left,left,A,B,0,B,0.356,internvl3,zero_shot,2026-08-23T14:06:49
G_69658_right_1931,mated,primary_genuine,cross,69658,69658,right,right,A,B,0,B,0.35,internvl3,zero_shot,2026-08-23T14:06:49
I_87757_99775_left_s,non-mated,primary_impostor,same,87757,99775,left,left,B,A,0,A,0.365,internvl3,zero_shot,2026-08-23T14:06:49
I_93812_99775_right_s,non-mated,primary_impostor,same,93812,99775,right,right,B,A,0,A,0.361,internvl3,zero_shot,2026-08-23T14:06:50
I_43210_47904_right_x,non-mated,primary_impostor,cross,43210,47904,right,right,B,A,0,A,0.355,internvl3,zero_shot,2026-08-23T14:06:50
G_58398_left_1293,mated,primary_genuine,cross,58398,58398,left,left,A,B,0,B,0.353,internvl3,zero_shot,2026-08-23T14:06:50
I_14493_57145_left_x,non-mated,primary_impostor,cross,14493,57145,left,left,B,A,0,A,0.357,internvl3,zero_shot,2026-08-23T14:06:51
G_57145_right_1072,mated,primary_genuine,same,57145,57145,right,right,A,A,1,A,0.363,internvl3,zero_shot,2026-08-23T14:06:51
