pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,res1,res2,latency_s,model,prompting_setting,timestamp
G_2303_frgp13,genuine,13,right,2303,2303,A,100,100,1000,500,0.581,qwen3vl,similarity_score,2026-07-06T23:03:56
G_2304_frgp13,genuine,13,right,2304,2304,A,100,100,1000,500,0.405,qwen3vl,similarity_score,2026-07-06T23:03:56
G_2306_frgp13,genuine,13,right,2306,2306,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:03:57
G_2307_frgp13,genuine,13,right,2307,2307,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:03:57
G_2310_frgp13,genuine,13,right,2310,2310,A,100,100,1000,500,0.408,qwen3vl,similarity_score,2026-07-06T23:03:58
G_2312_frgp13,genuine,13,right,2312,2312,A,100,100,1000,500,0.416,qwen3vl,similarity_score,2026-07-06T23:03:58
G_2313_frgp13,genuine,13,right,2313,2313,A,100,100,1000,500,0.421,qwen3vl,similarity_score,2026-07-06T23:03:58
G_2314_frgp13,genuine,13,right,2314,2314,A,100,100,1000,500,0.402,qwen3vl,similarity_score,2026-07-06T23:03:59
G_2315_frgp13,genuine,13,right,2315,2315,A,100,100,1000,500,0.412,qwen3vl,similarity_score,2026-07-06T23:03:59
G_2317_frgp13,genuine,13,right,2317,2317,A,100,100,1000,500,0.432,qwen3vl,similarity_score,2026-07-06T23:04:00
G_2319_frgp13,genuine,13,right,2319,2319,A,100,100,1000,500,0.413,qwen3vl,similarity_score,2026-07-06T23:04:00
G_2320_frgp13,genuine,13,right,2320,2320,A,100,100,1000,500,0.416,qwen3vl,similarity_score,2026-07-06T23:04:00
G_2321_frgp13,genuine,13,right,2321,2321,A,100,100,1000,500,0.41,qwen3vl,similarity_score,2026-07-06T23:04:01
G_2325_frgp13,genuine,13,right,2325,2325,A,100,100,1000,500,0.409,qwen3vl,similarity_score,2026-07-06T23:04:01
G_2326_frgp13,genuine,13,right,2326,2326,A,100,100,1000,500,0.411,qwen3vl,similarity_score,2026-07-06T23:04:02
G_2327_frgp13,genuine,13,right,2327,2327,A,100,100,1000,500,0.395,qwen3vl,similarity_score,2026-07-06T23:04:02
G_2328_frgp13,genuine,13,right,2328,2328,A,100,100,1000,500,0.401,qwen3vl,similarity_score,2026-07-06T23:04:03
G_2329_frgp13,genuine,13,right,2329,2329,A,100,100,1000,500,0.403,qwen3vl,similarity_score,2026-07-06T23:04:03
G_2330_frgp13,genuine,13,right,2330,2330,A,100,100,1000,500,0.399,qwen3vl,similarity_score,2026-07-06T23:04:03
