pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
G_2356_frgp13,genuine,13,right,00002356,00002356,A,70,70,1.102,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:49
G_2372_frgp14,genuine,14,left,00002372,00002372,A,70,70,0.856,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:50
I_00002304_00002312_frgp13,impostor,13,right,00002304,00002312,B,65,65,0.762,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:50
G_2394_frgp14,genuine,14,left,00002394,00002394,A,65,65,0.84,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:51
I_00002304_00002463_frgp13,impostor,13,right,00002304,00002463,B,65,65,0.766,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:52
I_00002330_00002447_frgp14,impostor,14,left,00002330,00002447,B,65,65,0.77,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:53
I_00002304_00002386_frgp13,impostor,13,right,00002304,00002386,B,65,65,0.765,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:54
G_2351_frgp13,genuine,13,right,00002351,00002351,A,65,65,0.84,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:54
G_2418_frgp14,genuine,14,left,00002418,00002418,A,70,70,0.843,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:55
I_00002304_00002425_frgp13,impostor,13,right,00002304,00002425,B,65,65,0.764,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:56
G_2359_frgp13,genuine,13,right,00002359,00002359,A,88,88,0.852,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:57
G_2392_frgp14,genuine,14,left,00002392,00002392,A,65,65,0.854,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:58
I_00002304_00002341_frgp13,impostor,13,right,00002304,00002341,B,65,65,0.761,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:59
I_00002330_00002339_frgp14,impostor,14,left,00002330,00002339,B,65,65,0.759,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:28:59
G_2403_frgp13,genuine,13,right,00002403,00002403,A,65,65,0.844,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:00
G_2373_frgp13,genuine,13,right,00002373,00002373,A,70,70,0.848,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:01
G_2394_frgp13,genuine,13,right,00002394,00002394,A,70,70,0.848,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:02
I_00002330_00002326_frgp14,impostor,14,left,00002330,00002326,B,65,65,0.765,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:03
G_2462_frgp13,genuine,13,right,00002462,00002462,A,70,70,0.839,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:03
G_2384_frgp14,genuine,14,left,00002384,00002384,A,88,88,0.841,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:04
I_00002330_00002412_frgp14,impostor,14,left,00002330,00002412,B,65,65,0.766,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:05
G_2353_frgp13,genuine,13,right,00002353,00002353,A,88,88,0.847,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:06
I_00002304_00002348_frgp13,impostor,13,right,00002304,00002348,B,65,65,0.764,InternVL3-8B-Instruct,similarity_score,2026-05-24T17:29:07
