pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_121_111,non-mated,diagnostic_impostor,na,121,121,13,14,B,20,"20% confident (the
  30%%",0.832,pixtral,similarity_score,2026-09-08T21:09:20
I_044_232_13,non-mated,primary_impostor,na,044,232,13,13,B,70,"70% confident (the

I'may be the same as
  80%%",1.015,pixtral,similarity_score,2026-09-08T21:09:21
I_067_932_13,non-mated,primary_impostor,na,067,932,13,13,B,20,"20% confident (the same as the
  30%%

The image is a black and white square.

It's a simple line drawing of the same as in the
of the
that it does not include the
anything.

Do not include anything else.

But what about?

That's a black box drawn here.

And then there was something about the
something.

Something is the
same thing.

But I'm saying something.

Something that you",2.431,pixtral,similarity_score,2026-09-08T21:09:23
I_169_222_13,non-mated,primary_impostor,na,169,222,13,13,B,2,"2
  30% confident (the images are the",0.85,pixtral,similarity_score,2026-09-08T21:09:24
I_051_174_13,non-mated,primary_impostor,na,051,174,13,13,B,70,"70% confident (the same person).

The image is a black-and-white image.",0.953,pixtral,similarity_score,2026-09-08T21:09:25
D_041_36,non-mated,diagnostic_impostor,na,041,041,13,14,B,,"F five distinct
 Based.",0.746,pixtral,similarity_score,2026-09-08T21:09:26
G_200_13_11863,mated,primary_genuine,na,200,200,13,13,A,,"The fingerprint is unique, but it's not clear what this person does.",0.867,pixtral,similarity_score,2026-09-08T21:09:27
I_049_269_13,non-mated,primary_impostor,na,049,269,13,13,B,20,"20
  30%%",0.774,pixtral,similarity_score,2026-09-08T21:09:28
G_256_14_13142,mated,primary_genuine,na,256,256,14,14,A,20,"20% confident (the images are the
  30%%",0.91,pixtral,similarity_score,2026-09-08T21:09:28
G_159_14_10898,mated,primary_genuine,na,159,159,14,14,A,20,"20% confident (the same as
  30%% certain
 40%% consistent (the images are the

same person.",1.183,pixtral,similarity_score,2026-09-08T21:09:30
G_202_14_11903,mated,primary_genuine,na,202,202,14,14,A,20,"20% confident (the images are the
  30%% consistent (the they are from in the

The following is the same as the

Do not include the number of the

is the

of the

and the

to be the

that is the

the

of this

the


+++++ (the)


the

the",1.98,pixtral,similarity_score,2026-09-08T21:09:32
D_46_259,non-mated,diagnostic_impostor,na,46,46,13,14,B,70,"70% confident (the
  80%%confident (the

I am here, explaining how it works:

The unique identifier is used in various ways to identify individual persons who have similar characteristics as those shown above.",1.531,pixtral,similarity_score,2026-09-08T21:09:33
G_112_14_9805,mated,primary_genuine,na,112,112,14,14,A,20,20%,0.673,pixtral,similarity_score,2026-09-08T21:09:34
G_192_13_11674,mated,primary_genuine,na,192,192,13,13,A,,A more than is the same as the same.,0.772,pixtral,similarity_score,2026-09-08T21:09:35
I_009_216_13,non-mated,primary_impostor,na,009,216,13,13,B,70,70%,0.676,pixtral,similarity_score,2026-09-08T21:09:35
D_155_135,non-mated,diagnostic_impostor,na,155,155,13,14,B,40,40,0.637,pixtral,similarity_score,2026-09-08T21:09:36
I_31_911_14,non-mated,primary_impostor,na,31,911,14,14,B,70,"Explain
the 70%",0.733,pixtral,similarity_score,2026-09-08T21:09:37
I_233_293_14,non-mated,primary_impostor,na,233,293,14,14,B,20,"20
  3.",0.732,pixtral,similarity_score,2026-09-08T21:09:37
I_57_71_13,non-mated,primary_impostor,na,57,71,13,13,B,70,"70% confident (the same person.)

The image is from the number of 85% confident
  9 = 20%%

Confident (the number of the 30%
  40%",1.531,pixtral,similarity_score,2026-09-08T21:09:39
G_048_14_3830,mated,primary_genuine,na,048,048,14,14,A,,"What is ed all Black-and-white

I does a Family Foot Prints print baby feet of by Janice  drawing Finger prints of placed family of three children growing our Four Fingers, lin f fo kids' picture

How do one female when can be unique, four fingers in woodcut, from comparing family ""The child's by l. left mabl e Lino. plus age,",2.171,pixtral,similarity_score,2026-09-08T21:09:41
D_191_165,non-mated,diagnostic_impostor,na,191,191,13,14,B,20,"20% confident (the images are
  30%%confident (the labels are from

### A score of the 4things are from
  the number is 1.",1.411,pixtral,similarity_score,2026-09-08T21:09:42
G_182_14_11428,mated,primary_genuine,na,182,182,14,14,A,20,"20
  30",0.733,pixtral,similarity_score,2026-09-08T21:09:43
G_009_13_633,mated,primary_genuine,na,009,009,13,13,A,29,"Finger date January 29, 40%
  3%",0.913,pixtral,similarity_score,2026-09-08T21:09:44
