pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
G_2356_frgp13,genuine,13,right,00002356,00002356,A,95,95,0.59,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:44
G_2372_frgp14,genuine,14,left,00002372,00002372,A,95,95,0.432,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:44
I_00002304_00002312_frgp13,impostor,13,right,00002304,00002312,B,90,90,0.342,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:44
G_2394_frgp14,genuine,14,left,00002394,00002394,A,95,95,0.425,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:45
I_00002304_00002463_frgp13,impostor,13,right,00002304,00002463,B,95,95,0.342,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:45
I_00002330_00002447_frgp14,impostor,14,left,00002330,00002447,B,90,90,0.34,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:45
I_00002304_00002386_frgp13,impostor,13,right,00002304,00002386,B,90,90,0.344,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:46
G_2351_frgp13,genuine,13,right,00002351,00002351,A,95,95,0.418,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:46
G_2418_frgp14,genuine,14,left,00002418,00002418,A,95,95,0.427,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:47
I_00002304_00002425_frgp13,impostor,13,right,00002304,00002425,B,85,85,0.342,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:47
G_2359_frgp13,genuine,13,right,00002359,00002359,A,95,95,0.429,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:47
G_2392_frgp14,genuine,14,left,00002392,00002392,A,95,95,0.428,Qwen2.5-VL-7B-Instruct,similarity_score,2026-05-24T17:43:48
