pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_121_111,non-mated,diagnostic_impostor,na,121,121,13,14,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:01
I_044_232_13,non-mated,primary_impostor,na,044,232,13,13,B,95,95,0.254,qwen25vl,similarity_score,2026-09-05T19:37:01
I_067_932_13,non-mated,primary_impostor,na,067,932,13,13,B,70,70,0.25,qwen25vl,similarity_score,2026-09-05T19:37:01
I_169_222_13,non-mated,primary_impostor,na,169,222,13,13,B,95,95,0.252,qwen25vl,similarity_score,2026-09-05T19:37:02
I_051_174_13,non-mated,primary_impostor,na,051,174,13,13,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:02
D_041_36,non-mated,diagnostic_impostor,na,041,041,13,14,B,75,75,0.253,qwen25vl,similarity_score,2026-09-05T19:37:02
G_200_13_11863,mated,primary_genuine,na,200,200,13,13,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:02
I_049_269_13,non-mated,primary_impostor,na,049,269,13,13,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:03
G_256_14_13142,mated,primary_genuine,na,256,256,14,14,A,95,95,0.252,qwen25vl,similarity_score,2026-09-05T19:37:03
G_159_14_10898,mated,primary_genuine,na,159,159,14,14,A,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:03
G_202_14_11903,mated,primary_genuine,na,202,202,14,14,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:03
D_46_259,non-mated,diagnostic_impostor,na,46,46,13,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:04
G_112_14_9805,mated,primary_genuine,na,112,112,14,14,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:04
G_192_13_11674,mated,primary_genuine,na,192,192,13,13,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:04
I_009_216_13,non-mated,primary_impostor,na,009,216,13,13,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:04
D_155_135,non-mated,diagnostic_impostor,na,155,155,13,14,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:05
I_31_911_14,non-mated,primary_impostor,na,31,911,14,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:05
I_233_293_14,non-mated,primary_impostor,na,233,293,14,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:05
I_57_71_13,non-mated,primary_impostor,na,57,71,13,13,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:05
G_048_14_3830,mated,primary_genuine,na,048,048,14,14,A,95,95,0.253,qwen25vl,similarity_score,2026-09-05T19:37:06
D_191_165,non-mated,diagnostic_impostor,na,191,191,13,14,B,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:06
G_182_14_11428,mated,primary_genuine,na,182,182,14,14,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:06
G_009_13_633,mated,primary_genuine,na,009,009,13,13,A,95,95,0.254,qwen25vl,similarity_score,2026-09-05T19:37:06
I_83_908_13,non-mated,primary_impostor,na,83,908,13,13,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:07
I_010_173_13,non-mated,primary_impostor,na,010,173,13,13,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:07
D_004_2,non-mated,diagnostic_impostor,na,004,004,13,14,B,95,95,0.253,qwen25vl,similarity_score,2026-09-05T19:37:07
G_212_13_12077,mated,primary_genuine,na,212,212,13,13,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:07
G_270_14_13504,mated,primary_genuine,na,270,270,14,14,A,95,95,0.246,qwen25vl,similarity_score,2026-09-05T19:37:08
G_42_13_14322,mated,primary_genuine,na,42,42,13,13,A,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:08
D_128_117,non-mated,diagnostic_impostor,na,128,128,13,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:08
G_934_14_16443,mated,primary_genuine,na,934,934,14,14,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:08
I_059_900_13,non-mated,primary_impostor,na,059,900,13,13,B,75,75,0.25,qwen25vl,similarity_score,2026-09-05T19:37:09
I_31_82_14,non-mated,primary_impostor,na,31,82,14,14,B,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:09
I_034_181_14,non-mated,primary_impostor,na,034,181,14,14,B,75,75,0.252,qwen25vl,similarity_score,2026-09-05T19:37:09
G_033_13_2634,mated,primary_genuine,na,033,033,13,13,A,95,95,0.253,qwen25vl,similarity_score,2026-09-05T19:37:09
I_136_263_13,non-mated,primary_impostor,na,136,263,13,13,B,75,75,0.247,qwen25vl,similarity_score,2026-09-05T19:37:10
G_160_13_10911,mated,primary_genuine,na,160,160,13,13,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:10
G_12_13_10249,mated,primary_genuine,na,12,12,13,13,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:10
I_006_044_14,non-mated,primary_impostor,na,006,044,14,14,B,95,95,0.258,qwen25vl,similarity_score,2026-09-05T19:37:10
D_218_186,non-mated,diagnostic_impostor,na,218,218,13,14,B,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:11
D_39_252,non-mated,diagnostic_impostor,na,39,39,13,14,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:11
I_229_916_13,non-mated,primary_impostor,na,229,916,13,13,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:11
G_049_14_3960,mated,primary_genuine,na,049,049,14,14,A,95,95,0.254,qwen25vl,similarity_score,2026-09-05T19:37:11
D_918_310,non-mated,diagnostic_impostor,na,918,918,13,14,B,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:12
G_43_13_14353,mated,primary_genuine,na,43,43,13,13,A,95,95,0.246,qwen25vl,similarity_score,2026-09-05T19:37:12
G_923_13_16063,mated,primary_genuine,na,923,923,13,13,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:12
G_127_14_10171,mated,primary_genuine,na,127,127,14,14,A,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:12
D_051_45,non-mated,diagnostic_impostor,na,051,051,13,14,B,95,95,0.252,qwen25vl,similarity_score,2026-09-05T19:37:13
G_197_14_11779,mated,primary_genuine,na,197,197,14,14,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:13
G_018_14_1489,mated,primary_genuine,na,018,018,14,14,A,95,95,0.254,qwen25vl,similarity_score,2026-09-05T19:37:13
I_049_901_14,non-mated,primary_impostor,na,049,901,14,14,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:13
I_36_67_13,non-mated,primary_impostor,na,36,67,13,13,B,75,75,0.248,qwen25vl,similarity_score,2026-09-05T19:37:14
I_146_194_13,non-mated,primary_impostor,na,146,194,13,13,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:14
D_279_230,non-mated,diagnostic_impostor,na,279,279,13,14,B,95,95,0.252,qwen25vl,similarity_score,2026-09-05T19:37:14
I_013_919_13,non-mated,primary_impostor,na,013,919,13,13,B,75,75,0.252,qwen25vl,similarity_score,2026-09-05T19:37:14
D_094_86,non-mated,diagnostic_impostor,na,094,094,13,14,B,95,95,0.255,qwen25vl,similarity_score,2026-09-05T19:37:15
D_158_138,non-mated,diagnostic_impostor,na,158,158,13,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:15
I_057_909_14,non-mated,primary_impostor,na,057,909,14,14,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:15
D_099_90,non-mated,diagnostic_impostor,na,099,099,13,14,B,95,95,0.252,qwen25vl,similarity_score,2026-09-05T19:37:15
G_125_13_10127,mated,primary_genuine,na,125,125,13,13,A,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:16
I_048_22_13,non-mated,primary_impostor,na,048,22,13,13,B,70,70,0.251,qwen25vl,similarity_score,2026-09-05T19:37:16
G_156_13_10789,mated,primary_genuine,na,156,156,13,13,A,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:16
I_42_939_14,non-mated,primary_impostor,na,42,939,14,14,B,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:16
I_164_279_14,non-mated,primary_impostor,na,164,279,14,14,B,20,20,0.248,qwen25vl,similarity_score,2026-09-05T19:37:17
I_007_253_13,non-mated,primary_impostor,na,007,253,13,13,B,95,95,0.251,qwen25vl,similarity_score,2026-09-05T19:37:17
I_902_919_14,non-mated,primary_impostor,na,902,919,14,14,B,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:17
I_100_189_13,non-mated,primary_impostor,na,100,189,13,13,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:17
G_122_13_10044,mated,primary_genuine,na,122,122,13,13,A,95,95,0.247,qwen25vl,similarity_score,2026-09-05T19:37:18
I_024_130_13,non-mated,primary_impostor,na,024,130,13,13,B,20,20,0.251,qwen25vl,similarity_score,2026-09-05T19:37:18
G_284_14_13708,mated,primary_genuine,na,284,284,14,14,A,75,75,0.247,qwen25vl,similarity_score,2026-09-05T19:37:18
D_228_195,non-mated,diagnostic_impostor,na,228,228,13,14,B,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:18
D_016_14,non-mated,diagnostic_impostor,na,016,016,13,14,B,95,95,0.253,qwen25vl,similarity_score,2026-09-05T19:37:19
I_123_932_14,non-mated,primary_impostor,na,123,932,14,14,B,75,75,0.248,qwen25vl,similarity_score,2026-09-05T19:37:19
D_101_92,non-mated,diagnostic_impostor,na,101,101,13,14,B,95,95,0.255,qwen25vl,similarity_score,2026-09-05T19:37:19
G_026_13_2176,mated,primary_genuine,na,026,026,13,13,A,95,95,0.254,qwen25vl,similarity_score,2026-09-05T19:37:19
D_35_248,non-mated,diagnostic_impostor,na,35,35,13,14,B,95,95,0.249,qwen25vl,similarity_score,2026-09-05T19:37:20
I_055_932_14,non-mated,primary_impostor,na,055,932,14,14,B,95,95,0.25,qwen25vl,similarity_score,2026-09-05T19:37:20
G_159_13_10878,mated,primary_genuine,na,159,159,13,13,A,95,95,0.248,qwen25vl,similarity_score,2026-09-05T19:37:20
