pair_id,label,frgp,which_hand,subject1,subject2,ground_truth
I_00002373_00002383_frgp13,impostor,13,right,2373,2383,B
I_00002373_00002409_frgp14,impostor,14,left,2373,2409,B
I_00002371_00002415_frgp14,impostor,14,left,2371,2415,B
I_00002357_00002367_frgp13,impostor,13,right,2357,2367,B
I_00002356_00002403_frgp14,impostor,14,left,2356,2403,B
I_00002409_00002424_frgp14,impostor,14,left,2409,2424,B
I_00002344_00002362_frgp13,impostor,13,right,2344,2362,B
I_00002394_00002406_frgp13,impostor,13,right,2394,2406,B
I_00002303_00002428_frgp13,impostor,13,right,2303,2428,B
I_00002358_00002374_frgp13,impostor,13,right,2358,2374,B
I_00002355_00002455_frgp14,impostor,14,left,2355,2455,B
I_00002405_00002406_frgp13,impostor,13,right,2405,2406,B
I_00002356_00002409_frgp13,impostor,13,right,2356,2409,B
I_00002360_00002369_frgp13,impostor,13,right,2360,2369,B
I_00002360_00002481_frgp13,impostor,13,right,2360,2481,B
I_00002339_00002352_frgp14,impostor,14,left,2339,2352,B
I_00002312_00002340_frgp14,impostor,14,left,2312,2340,B
I_00002319_00002380_frgp13,impostor,13,right,2319,2380,B
I_00002348_00002367_frgp14,impostor,14,left,2348,2367,B
I_00002395_00002405_frgp13,impostor,13,right,2395,2405,B
I_00002401_00002405_frgp14,impostor,14,left,2401,2405,B
I_00002399_00002415_frgp14,impostor,14,left,2399,2415,B
I_00002399_00002440_frgp14,impostor,14,left,2399,2440,B
I_00002349_00002391_frgp14,impostor,14,left,2349,2391,B
I_00002351_00002386_frgp13,impostor,13,right,2351,2386,B
I_00002360_00002447_frgp13,impostor,13,right,2360,2447,B
I_00002344_00002379_frgp13,impostor,13,right,2344,2379,B
I_00002326_00002369_frgp13,impostor,13,right,2326,2369,B
I_00002399_00002428_frgp14,impostor,14,left,2399,2428,B
I_00002399_00002406_frgp14,impostor,14,left,2399,2406,B
I_00002396_00002401_frgp13,impostor,13,right,2396,2401,B
I_00002340_00002376_frgp13,impostor,13,right,2340,2376,B
I_00002327_00002398_frgp14,impostor,14,left,2327,2398,B
I_00002317_00002381_frgp14,impostor,14,left,2317,2381,B
I_00002314_00002351_frgp14,impostor,14,left,2314,2351,B
I_00002356_00002360_frgp13,impostor,13,right,2356,2360,B
I_00002337_00002388_frgp14,impostor,14,left,2337,2388,B
I_00002328_00002383_frgp14,impostor,14,left,2328,2383,B
