pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,65,65,0.649,gemma3,similarity_score,2026-08-23T13:42:07
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,50,50,0.642,gemma3,similarity_score,2026-08-23T13:42:08
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,60,60,0.644,gemma3,similarity_score,2026-08-23T13:42:08
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,65,65,0.657,gemma3,similarity_score,2026-08-23T13:42:09
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,60,60,0.642,gemma3,similarity_score,2026-08-23T13:42:10
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,75,75,0.651,gemma3,similarity_score,2026-08-23T13:42:10
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,60,60,0.656,gemma3,similarity_score,2026-08-23T13:42:11
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,65,65,0.637,gemma3,similarity_score,2026-08-23T13:42:12
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,60,60,0.632,gemma3,similarity_score,2026-08-23T13:42:12
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,65,65,0.647,gemma3,similarity_score,2026-08-23T13:42:13
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,60,60,0.64,gemma3,similarity_score,2026-08-23T13:42:14
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,65,65,0.644,gemma3,similarity_score,2026-08-23T13:42:14
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,60,60,0.649,gemma3,similarity_score,2026-08-23T13:42:15
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,65,65,0.649,gemma3,similarity_score,2026-08-23T13:42:16
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,60,60,0.646,gemma3,similarity_score,2026-08-23T13:42:16
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,50,50,0.659,gemma3,similarity_score,2026-08-23T13:42:17
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,60,60,0.663,gemma3,similarity_score,2026-08-23T13:42:18
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,60,60,0.65,gemma3,similarity_score,2026-08-23T13:42:18
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,50,50,0.622,gemma3,similarity_score,2026-08-23T13:42:19
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,65,65,0.663,gemma3,similarity_score,2026-08-23T13:42:20
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,60,60,0.633,gemma3,similarity_score,2026-08-23T13:42:20
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,65,65,0.637,gemma3,similarity_score,2026-08-23T13:42:21
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,60,60,0.645,gemma3,similarity_score,2026-08-23T13:42:21
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,65,65,0.648,gemma3,similarity_score,2026-08-23T13:42:22
