pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,llm_answer,raw_response,correct,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,A,A,False,0.549,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:56
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,A,A,False,0.258,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:56
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,A,A,False,0.254,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:56
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,A,A,False,0.266,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:56
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,B,B,True,0.251,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:57
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:57
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:57
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:57
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:58
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,B,B,True,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:58
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,A,A,False,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:58
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:58
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,A,A,False,0.252,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:59
I_00002360_00002369_frgp13,impostor,13,right,00002360,00002369,B,A,A,False,0.256,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:59
I_00002360_00002481_frgp13,impostor,13,right,00002360,00002481,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:59
I_00002339_00002352_frgp14,impostor,14,left,00002339,00002352,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:36:59
I_00002312_00002340_frgp14,impostor,14,left,00002312,00002340,B,A,A,False,0.256,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:00
I_00002319_00002380_frgp13,impostor,13,right,00002319,00002380,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:00
I_00002348_00002367_frgp14,impostor,14,left,00002348,00002367,B,B,B,True,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:00
I_00002395_00002405_frgp13,impostor,13,right,00002395,00002405,B,B,B,True,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:00
I_00002401_00002405_frgp14,impostor,14,left,00002401,00002405,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:01
I_00002399_00002415_frgp14,impostor,14,left,00002399,00002415,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:01
I_00002399_00002440_frgp14,impostor,14,left,00002399,00002440,B,B,B,True,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:01
I_00002349_00002391_frgp14,impostor,14,left,00002349,00002391,B,B,B,True,0.255,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:01
I_00002351_00002386_frgp13,impostor,13,right,00002351,00002386,B,B,B,True,0.257,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:02
I_00002360_00002447_frgp13,impostor,13,right,00002360,00002447,B,A,A,False,0.251,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:02
I_00002344_00002379_frgp13,impostor,13,right,00002344,00002379,B,A,A,False,0.251,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:02
I_00002326_00002369_frgp13,impostor,13,right,00002326,00002369,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:02
I_00002399_00002428_frgp14,impostor,14,left,00002399,00002428,B,B,B,True,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:03
I_00002399_00002406_frgp14,impostor,14,left,00002399,00002406,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:03
I_00002396_00002401_frgp13,impostor,13,right,00002396,00002401,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:03
I_00002340_00002376_frgp13,impostor,13,right,00002340,00002376,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:03
I_00002327_00002398_frgp14,impostor,14,left,00002327,00002398,B,A,A,False,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:04
I_00002317_00002381_frgp14,impostor,14,left,00002317,00002381,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:04
I_00002314_00002351_frgp14,impostor,14,left,00002314,00002351,B,A,A,False,0.246,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:04
I_00002356_00002360_frgp13,impostor,13,right,00002356,00002360,B,A,A,False,0.245,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:04
I_00002337_00002388_frgp14,impostor,14,left,00002337,00002388,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:05
I_00002328_00002383_frgp14,impostor,14,left,00002328,00002383,B,B,B,True,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:05
I_00002374_00002481_frgp13,impostor,13,right,00002374,00002481,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:05
I_00002303_00002317_frgp13,impostor,13,right,00002303,00002317,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:05
I_00002341_00002357_frgp14,impostor,14,left,00002341,00002357,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:06
I_00002303_00002319_frgp14,impostor,14,left,00002303,00002319,B,A,A,False,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:06
I_00002325_00002376_frgp13,impostor,13,right,00002325,00002376,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:06
I_00002310_00002423_frgp13,impostor,13,right,00002310,00002423,B,A,A,False,0.245,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:06
I_00002320_00002340_frgp13,impostor,13,right,00002320,00002340,B,A,A,False,0.246,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:07
I_00002407_00002418_frgp13,impostor,13,right,00002407,00002418,B,A,A,False,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:07
I_00002356_00002360_frgp14,impostor,14,left,00002356,00002360,B,B,B,True,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:07
I_00002386_00002425_frgp14,impostor,14,left,00002386,00002425,B,A,A,False,0.252,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:07
I_00002338_00002412_frgp14,impostor,14,left,00002338,00002412,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:08
I_00002315_00002320_frgp13,impostor,13,right,00002315,00002320,B,A,A,False,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:08
I_00002353_00002360_frgp13,impostor,13,right,00002353,00002360,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:08
I_00002349_00002360_frgp13,impostor,13,right,00002349,00002360,B,A,A,False,0.256,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:08
I_00002310_00002415_frgp13,impostor,13,right,00002310,00002415,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:09
I_00002314_00002408_frgp14,impostor,14,left,00002314,00002408,B,B,B,True,0.246,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:09
G_2303_frgp14,genuine,14,left,00002303,00002303,A,A,A,True,0.338,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:09
I_00002356_00002373_frgp13,impostor,13,right,00002356,00002373,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:09
I_00002317_00002358_frgp13,impostor,13,right,00002317,00002358,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:10
I_00002369_00002447_frgp14,impostor,14,left,00002369,00002447,B,A,A,False,0.25,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:10
I_00002334_00002386_frgp14,impostor,14,left,00002334,00002386,B,B,B,True,0.247,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:10
I_00002401_00002455_frgp14,impostor,14,left,00002401,00002455,B,B,B,True,0.249,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:10
I_00002360_00002462_frgp14,impostor,14,left,00002360,00002462,B,A,A,False,0.246,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:11
I_00002326_00002418_frgp13,impostor,13,right,00002326,00002418,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:11
I_00002412_00002428_frgp14,impostor,14,left,00002412,00002428,B,B,B,True,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:11
I_00002329_00002447_frgp14,impostor,14,left,00002329,00002447,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:11
I_00002364_00002373_frgp14,impostor,14,left,00002364,00002373,B,A,A,False,0.248,Qwen2.5-VL-7B-Instruct,zero_shot,2026-06-14T15:37:12
