pair_id,label,category,device_pair,subject1,subject2,hand1,hand2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
D_43210_63,non-mated,diagnostic_impostor,cross,43210,43210,left,right,B,75,75,0.413,internvl3,similarity_score,2026-08-23T14:24:40
G_58398_left_1287,mated,primary_genuine,cross,58398,58398,left,left,A,20,20,0.396,internvl3,similarity_score,2026-08-23T14:24:40
G_56583_left_842,mated,primary_genuine,cross,56583,56583,left,left,A,20,20,0.408,internvl3,similarity_score,2026-08-23T14:24:40
I_14493_83742_left_s,non-mated,primary_impostor,same,14493,83742,left,left,B,85,85,0.419,internvl3,similarity_score,2026-08-23T14:24:41
I_57145_65052_left_x,non-mated,primary_impostor,cross,57145,65052,left,left,B,40,40,0.404,internvl3,similarity_score,2026-08-23T14:24:41
I_56583_93812_left_s,non-mated,primary_impostor,same,56583,93812,left,left,B,75,75,0.417,internvl3,similarity_score,2026-08-23T14:24:42
I_24101_57145_left_s,non-mated,primary_impostor,same,24101,57145,left,left,B,20,20,0.41,internvl3,similarity_score,2026-08-23T14:24:42
G_83742_left_2229,mated,primary_genuine,cross,83742,83742,left,left,A,20,20,0.402,internvl3,similarity_score,2026-08-23T14:24:42
G_57833_left_1183,mated,primary_genuine,same,57833,57833,left,left,A,75,75,0.408,internvl3,similarity_score,2026-08-23T14:24:43
G_69658_left_1866,mated,primary_genuine,same,69658,69658,left,left,A,75,75,0.406,internvl3,similarity_score,2026-08-23T14:24:43
I_24101_57145_left_x,non-mated,primary_impostor,cross,24101,57145,left,left,B,20,20,0.395,internvl3,similarity_score,2026-08-23T14:24:44
G_24101_right_301,mated,primary_genuine,cross,24101,24101,right,right,A,60,60,0.402,internvl3,similarity_score,2026-08-23T14:24:44
D_56583_99,non-mated,diagnostic_impostor,same,56583,56583,left,right,B,75,75,0.405,internvl3,similarity_score,2026-08-23T14:24:44
G_63029_left_1482,mated,primary_genuine,same,63029,63029,left,left,A,20,20,0.397,internvl3,similarity_score,2026-08-23T14:24:45
I_24101_87757_right_x,non-mated,primary_impostor,cross,24101,87757,right,right,B,75,75,0.397,internvl3,similarity_score,2026-08-23T14:24:45
G_89171_left_2506,mated,primary_genuine,cross,89171,89171,left,left,A,75,75,0.421,internvl3,similarity_score,2026-08-23T14:24:46
G_43210_left_580,mated,primary_genuine,same,43210,43210,left,left,A,75,75,0.423,internvl3,similarity_score,2026-08-23T14:24:46
I_44595_47904_left_s,non-mated,primary_impostor,same,44595,47904,left,left,B,60,60,0.409,internvl3,similarity_score,2026-08-23T14:24:46
G_44595_left_742,mated,primary_genuine,same,44595,44595,left,left,A,20,20,0.391,internvl3,similarity_score,2026-08-23T14:24:47
I_89171_96608_right_s,non-mated,primary_impostor,same,89171,96608,right,right,B,20,20,0.419,internvl3,similarity_score,2026-08-23T14:24:47
G_65030_left_1658,mated,primary_genuine,cross,65030,65030,left,left,A,75,75,0.392,internvl3,similarity_score,2026-08-23T14:24:48
I_65030_65052_left_x,non-mated,primary_impostor,cross,65030,65052,left,left,B,20,20,0.402,internvl3,similarity_score,2026-08-23T14:24:48
I_20294_47904_right_x,non-mated,primary_impostor,cross,20294,47904,right,right,B,60,60,0.411,internvl3,similarity_score,2026-08-23T14:24:48
G_20294_right_224,mated,primary_genuine,same,20294,20294,right,right,A,75,75,0.411,internvl3,similarity_score,2026-08-23T14:24:49
I_47904_58793_left_s,non-mated,primary_impostor,same,47904,58793,left,left,B,60,60,0.421,internvl3,similarity_score,2026-08-23T14:24:49
D_44595_73,non-mated,diagnostic_impostor,same,44595,44595,left,right,B,75,75,0.393,internvl3,similarity_score,2026-08-23T14:24:50
I_56583_96608_right_x,non-mated,primary_impostor,cross,56583,96608,right,right,B,75,75,0.407,internvl3,similarity_score,2026-08-23T14:24:50
D_14493_8,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,20,20,0.398,internvl3,similarity_score,2026-08-23T14:24:50
D_47904_92,non-mated,diagnostic_impostor,cross,47904,47904,left,right,B,75,75,0.408,internvl3,similarity_score,2026-08-23T14:24:51
I_32467_43210_right_s,non-mated,primary_impostor,same,32467,43210,right,right,B,75,75,0.423,internvl3,similarity_score,2026-08-23T14:24:51
G_74850_right_2037,mated,primary_genuine,cross,74850,74850,right,right,A,60,60,0.412,internvl3,similarity_score,2026-08-23T14:24:52
I_32467_65030_right_x,non-mated,primary_impostor,cross,32467,65030,right,right,B,60,60,0.409,internvl3,similarity_score,2026-08-23T14:24:52
G_20294_left_134,mated,primary_genuine,same,20294,20294,left,left,A,75,75,0.428,internvl3,similarity_score,2026-08-23T14:24:53
G_47904_right_832,mated,primary_genuine,cross,47904,47904,right,right,A,75,75,0.399,internvl3,similarity_score,2026-08-23T14:24:53
I_57145_89171_right_x,non-mated,primary_impostor,cross,57145,89171,right,right,B,75,75,0.416,internvl3,similarity_score,2026-08-23T14:24:53
G_76957_left_2098,mated,primary_genuine,same,76957,76957,left,left,A,85,85,0.424,internvl3,similarity_score,2026-08-23T14:24:54
I_14493_20294_right_x,non-mated,primary_impostor,cross,14493,20294,right,right,B,75,75,0.427,internvl3,similarity_score,2026-08-23T14:24:54
D_76957_225,non-mated,diagnostic_impostor,same,76957,76957,left,right,B,75,75,0.418,internvl3,similarity_score,2026-08-23T14:24:55
G_76957_left_2119,mated,primary_genuine,same,76957,76957,left,left,A,95,95,0.395,internvl3,similarity_score,2026-08-23T14:24:55
D_69658_194,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,75,75,0.398,internvl3,similarity_score,2026-08-23T14:24:55
G_32467_right_505,mated,primary_genuine,same,32467,32467,right,right,A,75,75,0.417,internvl3,similarity_score,2026-08-23T14:24:56
I_47904_58793_right_s,non-mated,primary_impostor,same,47904,58793,right,right,B,75,75,0.407,internvl3,similarity_score,2026-08-23T14:24:56
G_74850_right_2026,mated,primary_genuine,same,74850,74850,right,right,A,20,20,0.409,internvl3,similarity_score,2026-08-23T14:24:57
D_89171_262,non-mated,diagnostic_impostor,cross,89171,89171,left,right,B,75,75,0.397,internvl3,similarity_score,2026-08-23T14:24:57
I_57833_89171_left_x,non-mated,primary_impostor,cross,57833,89171,left,left,B,60,60,0.401,internvl3,similarity_score,2026-08-23T14:24:57
I_74850_83742_left_s,non-mated,primary_impostor,same,74850,83742,left,left,B,75,75,0.415,internvl3,similarity_score,2026-08-23T14:24:58
I_57833_69658_right_x,non-mated,primary_impostor,cross,57833,69658,right,right,B,60,60,0.396,internvl3,similarity_score,2026-08-23T14:24:58
G_74850_left_1998,mated,primary_genuine,same,74850,74850,left,left,A,85,85,0.407,internvl3,similarity_score,2026-08-23T14:24:59
D_83742_228,non-mated,diagnostic_impostor,cross,83742,83742,left,right,B,20,20,0.42,internvl3,similarity_score,2026-08-23T14:24:59
I_43210_56583_left_x,non-mated,primary_impostor,cross,43210,56583,left,left,B,20,20,0.398,internvl3,similarity_score,2026-08-23T14:24:59
G_43210_right_633,mated,primary_genuine,cross,43210,43210,right,right,A,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:00
I_58793_65030_left_s,non-mated,primary_impostor,same,58793,65030,left,left,B,75,75,0.415,internvl3,similarity_score,2026-08-23T14:25:00
I_57145_76957_left_s,non-mated,primary_impostor,same,57145,76957,left,left,B,85,85,0.41,internvl3,similarity_score,2026-08-23T14:25:01
I_14493_65030_left_x,non-mated,primary_impostor,cross,14493,65030,left,left,B,75,75,0.405,internvl3,similarity_score,2026-08-23T14:25:01
G_65030_right_1681,mated,primary_genuine,same,65030,65030,right,right,A,20,20,0.412,internvl3,similarity_score,2026-08-23T14:25:02
D_58398_142,non-mated,diagnostic_impostor,same,58398,58398,left,right,B,60,60,0.401,internvl3,similarity_score,2026-08-23T14:25:02
G_57833_right_1228,mated,primary_genuine,cross,57833,57833,right,right,A,75,75,0.41,internvl3,similarity_score,2026-08-23T14:25:02
I_43210_74850_left_s,non-mated,primary_impostor,same,43210,74850,left,left,B,60,60,0.417,internvl3,similarity_score,2026-08-23T14:25:03
D_14493_9,non-mated,diagnostic_impostor,same,14493,14493,left,right,B,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:03
I_43210_83742_right_s,non-mated,primary_impostor,same,43210,83742,right,right,B,75,75,0.413,internvl3,similarity_score,2026-08-23T14:25:04
G_96608_left_2728,mated,primary_genuine,same,96608,96608,left,left,A,20,20,0.398,internvl3,similarity_score,2026-08-23T14:25:04
I_57833_96608_left_x,non-mated,primary_impostor,cross,57833,96608,left,left,B,40,40,0.398,internvl3,similarity_score,2026-08-23T14:25:04
I_47904_63029_right_x,non-mated,primary_impostor,cross,47904,63029,right,right,B,75,75,0.416,internvl3,similarity_score,2026-08-23T14:25:05
I_65052_93812_right_x,non-mated,primary_impostor,cross,65052,93812,right,right,B,50,50,0.413,internvl3,similarity_score,2026-08-23T14:25:05
I_44595_99775_left_s,non-mated,primary_impostor,same,44595,99775,left,left,B,75,75,0.412,internvl3,similarity_score,2026-08-23T14:25:06
I_24101_32467_left_x,non-mated,primary_impostor,cross,24101,32467,left,left,B,50,50,0.398,internvl3,similarity_score,2026-08-23T14:25:06
G_27295_right_407,mated,primary_genuine,cross,27295,27295,right,right,A,75,75,0.396,internvl3,similarity_score,2026-08-23T14:25:06
I_65052_83742_left_x,non-mated,primary_impostor,cross,65052,83742,left,left,B,2,2,0.39,internvl3,similarity_score,2026-08-23T14:25:07
I_58398_76957_left_x,non-mated,primary_impostor,cross,58398,76957,left,left,B,75,75,0.404,internvl3,similarity_score,2026-08-23T14:25:07
G_76957_left_2097,mated,primary_genuine,cross,76957,76957,left,left,A,20,20,0.401,internvl3,similarity_score,2026-08-23T14:25:08
I_58793_65052_left_s,non-mated,primary_impostor,same,58793,65052,left,left,B,75,75,0.413,internvl3,similarity_score,2026-08-23T14:25:08
G_27295_left_311,mated,primary_genuine,same,27295,27295,left,left,A,75,75,0.397,internvl3,similarity_score,2026-08-23T14:25:08
I_14493_57145_right_x,non-mated,primary_impostor,cross,14493,57145,right,right,B,75,75,0.398,internvl3,similarity_score,2026-08-23T14:25:09
G_87757_right_2459,mated,primary_genuine,cross,87757,87757,right,right,A,20,20,0.397,internvl3,similarity_score,2026-08-23T14:25:09
D_93812_272,non-mated,diagnostic_impostor,cross,93812,93812,left,right,B,2,2,0.385,internvl3,similarity_score,2026-08-23T14:25:10
G_63029_left_1497,mated,primary_genuine,cross,63029,63029,left,left,A,75,75,0.401,internvl3,similarity_score,2026-08-23T14:25:10
G_69658_right_1931,mated,primary_genuine,cross,69658,69658,right,right,A,75,75,0.391,internvl3,similarity_score,2026-08-23T14:25:10
I_87757_99775_left_s,non-mated,primary_impostor,same,87757,99775,left,left,B,75,75,0.415,internvl3,similarity_score,2026-08-23T14:25:11
I_93812_99775_right_s,non-mated,primary_impostor,same,93812,99775,right,right,B,75,75,0.401,internvl3,similarity_score,2026-08-23T14:25:11
I_43210_47904_right_x,non-mated,primary_impostor,cross,43210,47904,right,right,B,75,75,0.398,internvl3,similarity_score,2026-08-23T14:25:12
G_58398_left_1293,mated,primary_genuine,cross,58398,58398,left,left,A,20,20,0.4,internvl3,similarity_score,2026-08-23T14:25:12
I_14493_57145_left_x,non-mated,primary_impostor,cross,14493,57145,left,left,B,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:12
G_57145_right_1072,mated,primary_genuine,same,57145,57145,right,right,A,75,75,0.411,internvl3,similarity_score,2026-08-23T14:25:13
I_63029_96608_right_s,non-mated,primary_impostor,same,63029,96608,right,right,B,75,75,0.405,internvl3,similarity_score,2026-08-23T14:25:13
I_58398_69658_left_x,non-mated,primary_impostor,cross,58398,69658,left,left,B,60,60,0.397,internvl3,similarity_score,2026-08-23T14:25:14
G_57145_right_1080,mated,primary_genuine,cross,57145,57145,right,right,A,85,85,0.402,internvl3,similarity_score,2026-08-23T14:25:14
I_58793_65030_left_x,non-mated,primary_impostor,cross,58793,65030,left,left,B,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:14
I_57833_89171_right_x,non-mated,primary_impostor,cross,57833,89171,right,right,B,60,60,0.41,internvl3,similarity_score,2026-08-23T14:25:15
I_14493_32467_left_x,non-mated,primary_impostor,cross,14493,32467,left,left,B,20,20,0.407,internvl3,similarity_score,2026-08-23T14:25:15
I_44595_58398_left_s,non-mated,primary_impostor,same,44595,58398,left,left,B,75,75,0.414,internvl3,similarity_score,2026-08-23T14:25:16
G_14493_left_18,mated,primary_genuine,cross,14493,14493,left,left,A,20,20,0.407,internvl3,similarity_score,2026-08-23T14:25:16
G_99775_right_2898,mated,primary_genuine,same,99775,99775,right,right,A,20,20,0.409,internvl3,similarity_score,2026-08-23T14:25:16
I_27295_58398_right_x,non-mated,primary_impostor,cross,27295,58398,right,right,B,60,60,0.405,internvl3,similarity_score,2026-08-23T14:25:17
I_32467_57145_right_x,non-mated,primary_impostor,cross,32467,57145,right,right,B,75,75,0.403,internvl3,similarity_score,2026-08-23T14:25:17
G_20294_right_240,mated,primary_genuine,cross,20294,20294,right,right,A,20,20,0.403,internvl3,similarity_score,2026-08-23T14:25:18
I_27295_93812_right_x,non-mated,primary_impostor,cross,27295,93812,right,right,B,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:18
D_69658_195,non-mated,diagnostic_impostor,cross,69658,69658,left,right,B,75,75,0.406,internvl3,similarity_score,2026-08-23T14:25:19
I_14493_89171_right_s,non-mated,primary_impostor,same,14493,89171,right,right,B,75,75,0.412,internvl3,similarity_score,2026-08-23T14:25:19
D_69658_199,non-mated,diagnostic_impostor,same,69658,69658,left,right,B,75,75,0.391,internvl3,similarity_score,2026-08-23T14:25:19
I_47904_58398_left_x,non-mated,primary_impostor,cross,47904,58398,left,left,B,20,20,0.401,internvl3,similarity_score,2026-08-23T14:25:20
I_65052_69658_left_x,non-mated,primary_impostor,cross,65052,69658,left,left,B,20,20,0.407,internvl3,similarity_score,2026-08-23T14:25:20
D_58398_133,non-mated,diagnostic_impostor,cross,58398,58398,left,right,B,60,60,0.41,internvl3,similarity_score,2026-08-23T14:25:21
I_14493_24101_right_s,non-mated,primary_impostor,same,14493,24101,right,right,B,75,75,0.41,internvl3,similarity_score,2026-08-23T14:25:21
G_56583_left_888,mated,primary_genuine,same,56583,56583,left,left,A,75,75,0.39,internvl3,similarity_score,2026-08-23T14:25:21
I_83742_87757_left_x,non-mated,primary_impostor,cross,83742,87757,left,left,B,60,60,0.404,internvl3,similarity_score,2026-08-23T14:25:22
D_47904_90,non-mated,diagnostic_impostor,same,47904,47904,left,right,B,75,75,0.397,internvl3,similarity_score,2026-08-23T14:25:22
I_69658_76957_left_s,non-mated,primary_impostor,same,69658,76957,left,left,B,85,85,0.409,internvl3,similarity_score,2026-08-23T14:25:23
G_24101_left_296,mated,primary_genuine,same,24101,24101,left,left,A,75,75,0.392,internvl3,similarity_score,2026-08-23T14:25:23
I_20294_32467_right_x,non-mated,primary_impostor,cross,20294,32467,right,right,B,75,75,0.41,internvl3,similarity_score,2026-08-23T14:25:23
