source_record,pair_id,id_status,stored,derived,parse_status,raw_sha256
1,I_00002373_00002383_frgp13,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
2,I_00002373_00002409_frgp14,not_audited,75,75.0,explicit_score,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac
3,I_00002371_00002415_frgp14,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
4,I_00002357_00002367_frgp13,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
5,I_00002356_00002403_frgp14,not_audited,75,75.0,explicit_score,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac
6,I_00002409_00002424_frgp14,not_audited,75,75.0,explicit_score,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac
7,I_00002344_00002362_frgp13,not_audited,75,75.0,explicit_score,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac
8,I_00002394_00002406_frgp13,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
9,I_00002303_00002428_frgp13,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
10,I_00002358_00002374_frgp13,not_audited,65,65.0,explicit_score,108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f
11,I_00002355_00002455_frgp14,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
12,I_00002405_00002406_frgp13,not_audited,75,75.0,explicit_score,f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac
13,I_00002356_00002409_frgp13,not_audited,85,85.0,explicit_score,b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc
