pair_id,label,frgp,which_hand,subject1,subject2,ground_truth,similarity_score,raw_response,latency_s,model,prompting_setting,timestamp
I_00002373_00002383_frgp13,impostor,13,right,00002373,00002383,B,60,60,0.77,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:36
I_00002373_00002409_frgp14,impostor,14,left,00002373,00002409,B,75,75,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:37
I_00002371_00002415_frgp14,impostor,14,left,00002371,00002415,B,60,60,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:38
I_00002357_00002367_frgp13,impostor,13,right,00002357,00002367,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:38
I_00002356_00002403_frgp14,impostor,14,left,00002356,00002403,B,65,65,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:39
I_00002409_00002424_frgp14,impostor,14,left,00002409,00002424,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:39
I_00002344_00002362_frgp13,impostor,13,right,00002344,00002362,B,60,60,0.545,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:40
I_00002394_00002406_frgp13,impostor,13,right,00002394,00002406,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:40
I_00002303_00002428_frgp13,impostor,13,right,00002303,00002428,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:41
I_00002358_00002374_frgp13,impostor,13,right,00002358,00002374,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:41
I_00002355_00002455_frgp14,impostor,14,left,00002355,00002455,B,65,65,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:42
I_00002405_00002406_frgp13,impostor,13,right,00002405,00002406,B,65,65,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:43
I_00002356_00002409_frgp13,impostor,13,right,00002356,00002409,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:43
I_00002360_00002369_frgp13,impostor,13,right,00002360,00002369,B,60,60,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:44
I_00002360_00002481_frgp13,impostor,13,right,00002360,00002481,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:44
I_00002339_00002352_frgp14,impostor,14,left,00002339,00002352,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:45
I_00002312_00002340_frgp14,impostor,14,left,00002312,00002340,B,60,60,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:45
I_00002319_00002380_frgp13,impostor,13,right,00002319,00002380,B,65,65,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:46
I_00002348_00002367_frgp14,impostor,14,left,00002348,00002367,B,65,65,0.545,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:46
I_00002395_00002405_frgp13,impostor,13,right,00002395,00002405,B,65,65,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:47
I_00002401_00002405_frgp14,impostor,14,left,00002401,00002405,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:47
I_00002399_00002415_frgp14,impostor,14,left,00002399,00002415,B,60,60,0.551,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:48
I_00002399_00002440_frgp14,impostor,14,left,00002399,00002440,B,60,60,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:49
I_00002349_00002391_frgp14,impostor,14,left,00002349,00002391,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:49
I_00002351_00002386_frgp13,impostor,13,right,00002351,00002386,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:50
I_00002360_00002447_frgp13,impostor,13,right,00002360,00002447,B,60,60,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:50
I_00002344_00002379_frgp13,impostor,13,right,00002344,00002379,B,60,60,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:51
I_00002326_00002369_frgp13,impostor,13,right,00002326,00002369,B,60,60,0.551,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:51
I_00002399_00002428_frgp14,impostor,14,left,00002399,00002428,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:52
I_00002399_00002406_frgp14,impostor,14,left,00002399,00002406,B,75,75,0.551,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:52
I_00002396_00002401_frgp13,impostor,13,right,00002396,00002401,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:53
I_00002340_00002376_frgp13,impostor,13,right,00002340,00002376,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:53
I_00002327_00002398_frgp14,impostor,14,left,00002327,00002398,B,65,65,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:54
I_00002317_00002381_frgp14,impostor,14,left,00002317,00002381,B,60,60,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:55
I_00002314_00002351_frgp14,impostor,14,left,00002314,00002351,B,75,75,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:55
I_00002356_00002360_frgp13,impostor,13,right,00002356,00002360,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:56
I_00002337_00002388_frgp14,impostor,14,left,00002337,00002388,B,65,65,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:56
I_00002328_00002383_frgp14,impostor,14,left,00002328,00002383,B,65,65,0.553,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:57
I_00002374_00002481_frgp13,impostor,13,right,00002374,00002481,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:57
I_00002303_00002317_frgp13,impostor,13,right,00002303,00002317,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:58
I_00002341_00002357_frgp14,impostor,14,left,00002341,00002357,B,65,65,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:58
I_00002303_00002319_frgp14,impostor,14,left,00002303,00002319,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:52:59
I_00002325_00002376_frgp13,impostor,13,right,00002325,00002376,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:00
I_00002310_00002423_frgp13,impostor,13,right,00002310,00002423,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:00
I_00002320_00002340_frgp13,impostor,13,right,00002320,00002340,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:01
I_00002407_00002418_frgp13,impostor,13,right,00002407,00002418,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:01
I_00002356_00002360_frgp14,impostor,14,left,00002356,00002360,B,65,65,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:02
I_00002386_00002425_frgp14,impostor,14,left,00002386,00002425,B,60,60,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:02
I_00002338_00002412_frgp14,impostor,14,left,00002338,00002412,B,65,65,0.552,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:03
I_00002315_00002320_frgp13,impostor,13,right,00002315,00002320,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:03
I_00002353_00002360_frgp13,impostor,13,right,00002353,00002360,B,65,65,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:04
I_00002349_00002360_frgp13,impostor,13,right,00002349,00002360,B,60,60,0.552,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:04
I_00002310_00002415_frgp13,impostor,13,right,00002310,00002415,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:05
I_00002314_00002408_frgp14,impostor,14,left,00002314,00002408,B,65,65,0.546,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:06
G_2303_frgp14,genuine,14,left,00002303,00002303,A,75,75,0.634,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:06
I_00002356_00002373_frgp13,impostor,13,right,00002356,00002373,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:07
I_00002317_00002358_frgp13,impostor,13,right,00002317,00002358,B,65,65,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:07
I_00002369_00002447_frgp14,impostor,14,left,00002369,00002447,B,65,65,0.55,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:08
I_00002334_00002386_frgp14,impostor,14,left,00002334,00002386,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:08
I_00002401_00002455_frgp14,impostor,14,left,00002401,00002455,B,65,65,0.548,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:09
I_00002360_00002462_frgp14,impostor,14,left,00002360,00002462,B,60,60,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:09
I_00002326_00002418_frgp13,impostor,13,right,00002326,00002418,B,60,60,0.549,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:10
I_00002412_00002428_frgp14,impostor,14,left,00002412,00002428,B,65,65,0.547,Gemma-3-12B-IT,similarity_score,2026-06-20T15:53:11
